Number,Year,Title,Genre,Rated,Type,imdbRating,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbVotes,imdbID
47,1952,The Bad and the Beautiful,"Drama, Romance",UNRATED,movie,7.9,118 min,Vincente Minnelli,"Charles Schnee (screenplay), George Bradshaw (story)","Lana Turner, Kirk Douglas, Walter Pidgeon, Dick Powell",English,USA,Won 5 Oscars. Another 2 wins & 7 nominations.,"9,772",tt0044391
50,1941,A Yank in the R.A.F.,"Action, Adventure, Drama",NOT RATED,movie,6.5,98 min,Henry King,"Darrell Ware (screenplay), Karl Tunberg (screenplay), Darryl F. Zanuck (story)","Tyrone Power, Betty Grable, John Sutton, Reginald Gardiner",English,USA,0,886,tt0034405
53,2003,The Bonesetter,"Horror, Thriller",NOT RATED,movie,2.7,72 min,Brett Kelly,Brett Kelly,"Brett Kelly, Sherry Thurig, Anne-Marie Frigon, Mark Courneyea",English,Canada,0,105,tt0403888
54,1952,We're Not Married,"Comedy, Romance",APPROVED,movie,6.4,86 min,Edmund Goulding,"Nunnally Johnson (screenplay), Dwight Taylor (adaptation), Gina Kaus (story), Jay Dratler (story)","Ginger Rogers, Fred Allen, Victor Moore, Marilyn Monroe",English,USA,0,"1,329",tt0045317
55,1995,Jade,"Crime, Drama, Thriller",R,movie,5.1,95 min,William Friedkin,Joe Eszterhas,"David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna",English,USA,2 nominations.,"9,313",tt0113451
57,1995,Richard III,"Drama, War",R,movie,7.5,104 min,Richard Loncraine,"William Shakespeare (play), Ian McKellen, Richard Loncraine","Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr.",English,"UK, USA",Nominated for 2 Oscars. Another 7 wins & 10 nominations.,"11,715",tt0114279
58,1996,Dragonheart,"Action, Adventure, Fantasy",PG-13,movie,6.4,103 min,Rob Cohen,"Patrick Read Johnson (story), Charles Edward Pogue (story), Charles Edward Pogue (screenplay)","Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer",English,USA,Nominated for 1 Oscar. Another 3 wins & 7 nominations.,"78,804",tt0116136
63,1943,Crash Dive,"Action, Adventure, Drama",NOT RATED,movie,6.4,106 min,Archie Mayo,"Jo Swerling (screenplay), W.R. Burnett (original story)","Tyrone Power, Anne Baxter, Dana Andrews, James Gleason","English, German",USA,0,992,tt0035763
65,2000,Lost in the Pershing Point Hotel,"Comedy, Drama",N/A,movie,4.8,107 min,Julia Jay Pierrepont III,"Leslie Jordan, Leslie Jordan (play)","Leslie Jordan, Erin Chandler, Mark Pellegrino, John Ritter",English,USA,4 wins.,145,tt0201737
67,1997,Vampire Journals,"Fantasy, Horror",R,movie,5.8,82 min,Ted Nicolaou,Ted Nicolaou,"Jonathon Morris, David Gunn, Kirsten Cerre, Starr Andreeff",English,"Romania, USA",0,"1,048",tt0120428
72,1974,At Home Among Strangers,"Action, Adventure, Drama",N/A,movie,7.8,97 min,Nikita Mikhalkov,"Nikita Mikhalkov, Eduard Volodarskiy","Yuri Bogatyryov, Nikita Mikhalkov, Sergey Shakurov, Aleksandr Kalyagin",Russian,Soviet Union,0,"1,893",tt0072231
74,1999,6ixtynin9,"Comedy, Crime, Thriller",R,movie,7.2,118 min,Pen-Ek Ratanaruang,Pen-Ek Ratanaruang,"Lalita Panyopas, Sirisin Siripornsmathikul, Prompop Lee, Surapong Mekpongsathorn",Thai,Thailand,5 wins & 2 nominations.,"1,692",tt0235154
75,1997,Grind,Drama,N/A,movie,5.2,96 min,Chris Kentis,"Laura Lau, Chris Kentis","Billy Crudup, Adrienne Shelly, Paul Schulze, Frank Vincent",English,USA,0,343,tt0119228
77,1995,Congo,"Action, Adventure, Mystery",PG-13,movie,5,109 min,Frank Marshall,"Michael Crichton (novel), John Patrick Shanley (screenplay)","Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry","English, American Sign Language",USA,2 wins & 11 nominations.,"34,905",tt0112715
78,1996,Jingle All the Way,"Comedy, Family",PG,movie,5.4,89 min,Brian Levant,Randy Kornfield,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson",English,USA,2 wins & 3 nominations.,"68,686",tt0116705
79,1956,The Killing,"Crime, Drama, Film-Noir",APPROVED,movie,8,85 min,Stanley Kubrick,"Stanley Kubrick (screenplay), Jim Thompson (dialogue), Lionel White (novel)","Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen",English,USA,0,"63,049",tt0049406
80,1979,Winter Kills,"Drama, Thriller",R,movie,6.4,97 min,William Richert,"Richard Condon (book), William Richert (written for the screen)","Jeff Bridges, John Huston, Anthony Perkins, Eli Wallach",English,USA,0,"1,357",tt0080139
82,1951,The Frogmen,"Adventure, War, Drama",APPROVED,movie,6.7,96 min,Lloyd Bacon,"John Tucker Battle (screenplay), Oscar Millard (story)","Richard Widmark, Dana Andrews, Gary Merrill, Jeffrey Hunter",English,USA,0,789,tt0043565
83,1983,Silkwood,"Biography, Drama, History",R,movie,7.2,131 min,Mike Nichols,"Nora Ephron, Alice Arlen","Meryl Streep, Kurt Russell, Cher, Craig T. Nelson",English,USA,Nominated for 5 Oscars. Another 2 wins & 13 nominations.,"14,097",tt0086312
84,2002,The Powerpuff Girls Movie,"Animation, Action, Adventure",PG,movie,6.5,73 min,Craig McCracken,"Charlie Bean, Lauren Faust, Craig McCracken, Paul Rudish, Don Shank, Charlie Bean (story), Craig McCracken (story), Amy Keating Rogers (story), Paul Rudish (story), Don Shank (story), Lauren Faust (story), Craig McCracken (creator)","Cathy Cavadini, Tara Strong, Elizabeth Daily, Roger Jackson",English,USA,0,"7,792",tt0289408
86,1996,Iron Monkey 2,Action,R,movie,4.5,92 min,Lu Chiang Chao,"Man Choi Lee, Wu Lee (dialogue), Jack Maeby (english adaptation)","Donnie Yen, Billy Chow, Ma Wu, Steve Benson",Cantonese,Hong Kong,0,533,tt0172610
89,2000,Chain of Command,"Action, Adventure, Thriller",R,movie,4.8,96 min,John Terlesky,T.L. Lankford,"Roy Scheider, Patrick Muldoon, Maria Conchita Alonso, Michael Biehn",English,USA,0,724,tt0207377
90,1951,The Lemon Drop Kid,"Comedy, Music, Romance",N/A,movie,7.2,91 min,"Sidney Lanfield, Frank Tashlin","Edmund Beloin (story), Irving Elinson (additional dialogue), Edmund L. Hartmann, Robert O'Brien, Damon Runyon (story), Frank Tashlin","Bob Hope, Marilyn Maxwell, Lloyd Nolan, Jane Darwell",English,USA,1 win.,"1,213",tt0043733
93,2004,They Came Back,"Drama, Fantasy",N/A,movie,5.9,102 min,Robin Campillo,"Robin Campillo, Brigitte Tijou","Géraldine Pailhas, Jonathan Zaccaï, Frédéric Pierrot, Victor Garrivier",French,France,2 wins & 4 nominations.,"2,328",tt0378661
95,1985,Dona Herlinda and Her Son,"Comedy, Drama, Romance",N/A,movie,6.8,90 min,Jaime Humberto Hermosillo,"Jaime Humberto Hermosillo, Jorge López Páez (novel)","Arturo Meza, Marco Treviño, Guadalupe Del Toro, Letícia Lupercio",Spanish,Mexico,1 nomination.,361,tt0089048
96,2000,Inside the Space Station,Documentary,N/A,movie,6.5,N/A,Pierre de Lespinois,Stephen Jay Schwartz,Liam Neeson,English,USA,0,66,tt0271008
102,2004,Notre Musique,Drama,N/A,movie,7,80 min,Jean-Luc Godard,Jean-Luc Godard,"Sarah Adler, Nade Dieu, Rony Kramer, Simon Eine","French, Arabic, English, Hebrew, Serbo-Croatian, Spanish","France, Switzerland",1 win & 5 nominations.,"2,448",tt0360845
104,1965,The Great Race,"Action, Adventure, Comedy",APPROVED,movie,7.2,160 min,Blake Edwards,"Arthur A. Ross (screenplay), Blake Edwards (original story), Arthur A. Ross (original story)","Jack Lemmon, Tony Curtis, Natalie Wood, Peter Falk",English,USA,Won 1 Oscar. Another 1 win & 14 nominations.,"12,597",tt0059243
105,2002,Obsessed,"Drama, Mystery, Thriller",TV-PG,movie,5.7,90 min,John Badham,Matthew Tabak,"Jenna Elfman, Kate Burton, Lisa Edelstein, Jane Wheeler",English,"USA, Canada",0,709,tt0325322
108,2004,Spartan,"Action, Crime, Drama",R,movie,6.6,106 min,David Mamet,David Mamet,"Tia Texada, Derek Luke, Val Kilmer, Jeremie Campbell","English, Russian, Swedish","USA, Germany",0,"26,665",tt0360009
110,1989,Scandal,"Drama, History",R,movie,6.5,106 min,Michael Caton-Jones,Michael Thomas,"John Hurt, Joanne Whalley, Bridget Fonda, Ian McKellen",English,UK,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,"3,750",tt0098260
113,2000,Bruce Lee: A Warrior's Journey,"Documentary, Action, Biography",N/A,movie,8.2,100 min,"John Little, Bruce Lee","Bruce Lee (material), John Little, Bey Logan (additional material)","Bruce Lee, Kareem Abdul-Jabbar, Peter Archer, Sun-Man Bae","English, Cantonese","USA, UK, Hong Kong",1 win.,"2,008",tt0297814
116,2004,Bear Cub,"Comedy, Drama",R,movie,7.3,99 min,Miguel Albaladejo,"Miguel Albaladejo, Salvador García Ruiz","José Luis García Pérez, David Castillo, Empar Ferrer, Elvira Lindo","Spanish, French",Spain,4 wins & 2 nominations.,"3,183",tt0359045
117,1957,Silk Stockings,"Comedy, Musical, Romance",APPROVED,movie,6.9,117 min,Rouben Mamoulian,"Leonard Gershe (screenplay), Leonard Spigelgass (screenplay), Melchior Lengyel (suggested by ""Ninotchka"" by), George S. Kaufman (book), Leueen MacGrath (book), Abe Burrows (book)","Fred Astaire, Cyd Charisse, Janis Paige, Peter Lorre",English,USA,Nominated for 2 Golden Globes. Another 3 nominations.,"2,753",tt0050972
118,1985,Rambo: First Blood Part II,"Action, Adventure, Thriller",R,movie,6.4,96 min,George P. Cosmatos,"David Morrell (characters), Kevin Jarre (story), Sylvester Stallone (screenplay), James Cameron (screenplay)","Sylvester Stallone, Richard Crenna, Charles Napier, Steven Berkoff","English, Vietnamese",USA,Nominated for 1 Oscar. Another 5 wins & 4 nominations.,"118,891",tt0089880
123,2000,Chain of Fools,"Comedy, Crime",R,movie,6.2,98 min,"Pontus Löwenhielm, Patrick von Krusenstjerna",Bix Skahill,"Steve Zahn, Salma Hayek, Jeff Goldblum, Elijah Wood",English,USA,0,"3,460",tt0194368
125,1981,Nighthawks,"Action, Crime, Thriller",R,movie,6.4,99 min,"Bruce Malmuth, Gary Nelson","David Shaber (screenplay), David Shaber (story), Paul Sylbert (story)","Sylvester Stallone, Billy Dee Williams, Lindsay Wagner, Persis Khambatta","English, German, French, Swedish",USA,0,"12,698",tt0082817
127,1987,Fatal Beauty,"Action, Comedy, Crime",R,movie,5.3,104 min,Tom Holland,"Bill Svanoe (story), Hilary Henkin (screenplay), Dean Riesner (screenplay)","Whoopi Goldberg, Sam Elliott, Rubén Blades, Harris Yulin",English,"USA, Japan",1 win.,"2,462",tt0093011
128,1985,Mr. Vampire,"Action, Comedy, Fantasy",PG-13,movie,7.6,96 min,Ricky Lau,"Ricky Lau, Cheuk-Hon Szeto, Barry Wong, Ying Wong (story)","Ching-Ying Lam, Siu-Ho Chin, Ricky Hui, Moon Lee",Cantonese,Hong Kong,1 win & 11 nominations.,"2,347",tt0089371
130,1999,Drowning on Dry Land,Drama,R,movie,5.4,88 min,Carl Colpaert,"Julie Jacobs (screenplay), Julie Jacobs (story), Sheila Nayar","Barbara Hershey, Naveen Andrews, Carol Lynley, John Doe",English,USA,1 nomination.,140,tt0187820
136,1927,Cat and the Canary,"Horror, Mystery",UNRATED,movie,7.2,108 min,Paul Leni,"John Willard (from the stage play by), Robert F. Hill (adaptation), Alfred A. Cohn (adaptation), Alfred A. Cohn (scenario), Walter Anthony (titles)","Laura La Plante, Creighton Hale, Forrest Stanley, Tully Marshall",English,USA,0,"1,966",tt0017739
137,1998,Naked Lies,"Action, Crime, Drama",R,movie,3,93 min,Ralph E. Portillo,"D. Alvelo (screenplay), Jalee Bailey (screenplay), Michael Edwards (screenplay)","Shannon Tweed, Fernando Allende, Jay Baker, Steven Bauer",English,"USA, Mexico",0,263,tt0139487
143,1997,The Game,"Drama, Mystery, Thriller",R,movie,7.8,129 min,David Fincher,"John Brancato, Michael Ferris","Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn","English, Cantonese, German",USA,1 nomination.,"264,743",tt0119174
145,1978,Get Out Your Handkerchiefs,"Comedy, Drama, Romance",R,movie,6.9,108 min,Bertrand Blier,Bertrand Blier,"Gérard Depardieu, Carole Laure, Patrick Dewaere, Michel Serrault",French,"France, Belgium",Won 1 Oscar. Another 2 wins & 4 nominations.,"2,595",tt0078122
148,2001,Sweet November,"Drama, Romance",PG-13,movie,6.7,119 min,Pat O'Connor,"Herman Raucher, Paul Yurick (story), Kurt Voelker (story), Kurt Voelker (screenplay)","Keanu Reeves, Charlize Theron, Jason Isaacs, Greg Germann",English,USA,3 nominations.,"70,783",tt0230838
150,2001,Firetrap,"Action, Crime",R,movie,5.4,97 min,Harris Done,"Diane Fine, Richard Preston Jr.","Dean Cain, Richard Tyson, Mel Harris, Lori Petty",English,USA,0,642,tt0243907
151,2005,Sleepover Nightmare,Horror,R,movie,3.3,81 min,Boon Collins,Boon Collins,"Hayley Sales, Chad Rook, Kristine Cofsky, Richard Olak",English,Canada,0,264,tt0448123
152,1995,A Little Princess,"Drama, Family, Fantasy",G,movie,7.7,97 min,Alfonso Cuarón,"Frances Hodgson Burnett (novel), Richard LaGravenese (screenplay), Elizabeth Chandler (screenplay)","Liesel Matthews, Eleanor Bron, Liam Cunningham, Rusty Schwimmer","English, French",USA,Nominated for 2 Oscars. Another 3 wins & 8 nominations.,"25,377",tt0113670
155,1975,The Strongest Man in the World,"Family, Comedy, Fantasy",G,movie,6,92 min,Vincent McEveety,"Joseph L. McEveety, Herman Groves","Kurt Russell, Joe Flynn, Eve Arden, Cesar Romero",English,USA,0,"1,833",tt0073760
156,1992,Husbands and Wives,"Comedy, Drama, Romance",R,movie,7.6,103 min,Woody Allen,Woody Allen,"Nick Metropolis, Woody Allen, Mia Farrow, Sydney Pollack",English,USA,Nominated for 2 Oscars. Another 11 wins & 9 nominations.,"21,679",tt0104466
158,2004,A Killer Within,"Thriller, Drama",R,movie,5,110 min,Brad Keller,"Chris Peirson (original screenplay), William Peirson (original screenplay)","C. Thomas Howell, Sean Young, Ben Browder, Dedee Pfeiffer","English, Spanish",USA,0,655,tt0385813
159,1971,Gentlemen of Fortune,"Comedy, Crime, Drama",N/A,movie,8.6,88 min,Aleksandr Seryj,"Georgiy Daneliya, Viktoriya Tokareva","Evgeniy Leonov, Georgiy Vitsin, Radner Muratov, Saveliy Kramarov",Russian,Soviet Union,0,"7,003",tt0068519
161,1939,Ninotchka,"Comedy, Romance",PASSED,movie,8,110 min,Ernst Lubitsch,"Charles Brackett (screen play), Billy Wilder (screen play), Walter Reisch (screen play), Melchior Lengyel (based on the original story by)","Greta Garbo, Melvyn Douglas, Ina Claire, Bela Lugosi","English, Russian",USA,Nominated for 4 Oscars. Another 2 wins & 2 nominations.,"14,572",tt0031725
164,2003,One Last Dance,"Drama, Romance",PG-13,movie,5.7,101 min,Lisa Niemi,Lisa Niemi,"Patrick Swayze, Lisa Niemi, George De La Pena, Matthew Walker",English,Canada,0,"1,117",tt0157191
165,1982,Richard Pryor: Live on the Sunset Strip,"Documentary, Comedy",R,movie,7.6,82 min,Joe Layton,Richard Pryor,Richard Pryor,English,USA,1 win.,"2,856",tt0084597
166,1980,Fame,"Drama, Music, Musical",R,movie,6.6,134 min,Alan Parker,Christopher Gore,"Eddie Barth, Irene Cara, Lee Curreri, Laura Dean","English, Spanish, French, Russian",USA,Won 2 Oscars. Another 4 wins & 17 nominations.,"16,469",tt0080716
167,2004,The Chorus,"Drama, Music",PG-13,movie,7.9,97 min,Christophe Barratier,"Georges Chaperot, René Wheeler, René Wheeler, Noël-Noël, Christophe Barratier (screen story), Christophe Barratier (screenplay), Philippe Lopes-Curval (screenplay)","Gérard Jugnot, François Berléand, Kad Merad, Jean-Paul Bonnaire",French,"France, Switzerland, Germany",Nominated for 2 Oscars. Another 12 wins & 22 nominations.,"44,638",tt0372824
168,1983,Smokey and the Bandit Part 3,"Comedy, Crime",PG,movie,3.3,85 min,Dick Lowry,"Stuart Birnbaum, David Dashev","Jackie Gleason, Jerry Reed, Paul Williams, Pat McCormick","English, Spanish",USA,0,"6,402",tt0086325
170,1972,Tomorrow,Drama,PG,movie,7.8,103 min,Joseph Anthony,"William Faulkner (story), Horton Foote (play), Horton Foote","Robert Duvall, Olga Bellin, Sudie Bond, Richard McConnell",English,USA,0,773,tt0069393
171,1957,Funny Face,"Comedy, Musical, Romance",UNRATED,movie,7.1,103 min,Stanley Donen,Leonard Gershe,"Audrey Hepburn, Fred Astaire, Kay Thompson, Michel Auclair","English, French",USA,Nominated for 4 Oscars. Another 2 wins & 6 nominations.,"19,156",tt0050419
172,2003,Jack,"Fantasy, Horror, Musical",N/A,movie,5.7,120 min,Thomas Nöla,"Melissey Castevet, Thomas Nöla","Melissey Castevet, Stevie Craig, Kerry Davis, Lucas Geraigery",English,USA,0,15,tt0379836
173,1968,The Devil's Brigade,"Action, Drama, War",APPROVED,movie,6.8,130 min,Andrew V. McLaglen,"William Roberts (screenplay), Robert H. Adleman (based on the book by), George Walton (based on the book by)","William Holden, Cliff Robertson, Vince Edwards, Andrew Prine","English, German",USA,0,"3,827",tt0062886
175,1992,Reservoir Dogs,"Crime, Drama, Thriller",R,movie,8.4,99 min,Quentin Tarantino,"Quentin Tarantino, Roger Avary (background radio dialog), Quentin Tarantino (background radio dialog)","Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn",English,USA,9 wins & 15 nominations.,"673,300",tt0105236
177,2002,Pressure,"Action, Thriller",R,movie,5.9,90 min,Richard Gale,"Richard Gale (screenplay), Craig Brewer (screenplay), Richard Gale (story)","Kerr Smith, Lochlyn Munro, Angela Featherstone, Adrien Dorval",English,USA,1 nomination.,902,tt0283559
178,1996,Regular Guys,"Comedy, Crime, Romance",N/A,movie,7,102 min,Rolf Silber,"Rolf Silber, Rudolf Bergmann","Christoph M. Ohrt, Carin C. Tietze, Tim Bergmann, Oliver Stokowski","German, Russian",Germany,2 wins & 1 nomination.,"1,251",tt0116164
181,2004,The Last Shot,"Comedy, Romance",R,movie,5.7,93 min,Jeff Nathanson,"Steve Fishman (article), Jeff Nathanson","Matthew Broderick, Alec Baldwin, Toni Collette, Tony Shalhoub",English,USA,0,"3,795",tt0357054
186,1950,Panic in the Streets,"Crime, Drama, Film-Noir",APPROVED,movie,7.3,96 min,Elia Kazan,"Richard Murphy (screenplay), Daniel Fuchs (adaptation), Edna Anhalt (story), Edward Anhalt (story)","Richard Widmark, Paul Douglas, Barbara Bel Geddes, Jack Palance","English, Mandarin, Greek",USA,Won 1 Oscar. Another 2 wins & 3 nominations.,"4,877",tt0042832
187,2002,Death to Smoochy,"Comedy, Crime, Drama",R,movie,6.4,109 min,Danny DeVito,Adam Resnick,"Robin Williams, Edward Norton, Catherine Keener, Danny DeVito",English,"UK, Germany, USA",2 nominations.,"34,824",tt0266452
189,1982,Airplane II: The Sequel,"Comedy, Sci-Fi",PG,movie,6.1,85 min,Ken Finkleman,Ken Finkleman,"Lloyd Bridges, Raymond Burr, Chuck Connors, Rip Torn",English,USA,0,"37,830",tt0083530
195,2004,Chasing Freedom,Drama,R,movie,6.7,120 min,Don McBrearty,Barbara Samuels,"Juliette Lewis, Layla Alizada, Bruce Gray, Michael David Simms",English,USA,1 win & 8 nominations.,342,tt0388828
197,2004,Taking Lives,"Crime, Mystery, Thriller",R,movie,6.2,103 min,D.J. Caruso,"Michael Pye (novel), Jon Bokenkamp (screen story), Jon Bokenkamp (screenplay)","Angelina Jolie, Ethan Hawke, Kiefer Sutherland, Gena Rowlands","English, French",USA,4 nominations.,"65,603",tt0364045
198,1997,Gupt,"Action, Crime, Drama",N/A,movie,7.3,173 min,Rajiv Rai,"Shabbir Boxwala (screenplay), Rajiv Rai (screenplay), Rajiv Rai (story), Naeem Sha (dialogue director), Naeem Sha (dialogue)","Bobby Deol, Manisha Koirala, Kajol, Prem Chopra",Hindi,India,3 wins & 5 nominations.,"2,858",tt0119239
199,1978,The Deer Hunter,"Drama, War",R,movie,8.2,183 min,Michael Cimino,"Michael Cimino (story), Deric Washburn (story), Louis Garfinkle (story), Quinn K. Redeker (story), Deric Washburn (screenplay)","Robert De Niro, John Cazale, John Savage, Christopher Walken","English, Russian, Vietnamese, French","UK, USA",Won 5 Oscars. Another 17 wins & 26 nominations.,"235,569",tt0077416
200,1964,The Fall of the Roman Empire,"Drama, History, War",APPROVED,movie,6.7,188 min,Anthony Mann,"Ben Barzman (screenplay), Basilio Franchina (screenplay), Philip Yordan (screenplay)","Sophia Loren, Stephen Boyd, Alec Guinness, James Mason",English,USA,Nominated for 1 Oscar. Another 1 win & 1 nomination.,"6,254",tt0058085
202,2001,Ruby's Bucket of Blood,"Drama, Music",PG-13,movie,5.8,95 min,Peter Werner,"Julie Hébert (play), Julie Hébert (teleplay)","Angela Bassett, Kevin Anderson, Brian Stokes Mitchell, Jurnee Smollett-Bell",English,USA,3 wins & 4 nominations.,253,tt0261264
204,2002,Venus Boyz,Documentary,N/A,movie,6.4,102 min,Gabrielle Baur,Gabrielle Baur,"Diane Torr, Dréd Gerestant, Del La Grace Volcano, Queen Bee Luscious",English,"Switzerland, USA, Germany",3 wins & 2 nominations.,265,tt0293685
210,2001,Onmyoji,"Action, Fantasy, Drama",R,movie,6.3,112 min,Yôjirô Takita,Baku Yumemakura,"Mansai Nomura, Hideaki Itô, Eriko Imai, Yui Natsukawa",Japanese,Japan,6 wins & 8 nominations.,"1,085",tt0355857
212,1982,Querelle,Drama,R,movie,6.8,108 min,Rainer Werner Fassbinder,"Jean Genet (novel), Rainer Werner Fassbinder (screenplay), Burkhard Driest (screenplay)","Brad Davis, Franco Nero, Jeanne Moreau, Laurent Malet",English,"West Germany, France",4 nominations.,"4,011",tt0084565
219,1995,Neon Bible,Drama,N/A,movie,6.1,91 min,Terence Davies,"Terence Davies, John Kennedy Toole (novel)","Jacob Tierney, Drake Bell, Gena Rowlands, Diana Scarwid",English,UK,2 nominations.,616,tt0113952
222,1998,Yellow,"Comedy, Drama, Romance",R,movie,6,90 min,Chris Chan Lee,Chris Chan Lee,"David Zaugh, James Boobar, Burt Bulos, Ray Chang","English, Korean",USA,1 nomination.,194,tt0122804
