Number,Year,Title,Genre,Rated,Type,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbRating,NetflixRating
1180,2001.0,A Beautiful Mind,3.5705426356589145,3.3125,4.0,135,4.0,4.0,3.875,3.2925764192139737,3.2941176470588234,100,9,4.0
1307,2003.0,S.W.A.T.,3.2731351069379238,3.3125,4.0,117,3.0,3.2,3.3333333333333335,3.230141960526522,3.2941176470588234,10,6,3.0
1428,2003.0,The Recruit,3.222433542657965,3.3125,4.0,115,3.0,3.0,2.7916666666666665,3.2641921397379914,3.2941176470588234,2,7,3.0
1590,2001.0,Life as a House,3.3410852713178296,3.2211538461538463,4.0,125,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,11,8,3.0
1637,2002.0,Trapped,3.31739879414298,3.2211538461538463,4.0,106,3.0,3.0,3.125,3.2925764192139737,3.3595588235294116,0,7,3.0
1962,2004.0,50 First Dates,3.2019230769230766,3.3125,4.0,99,4.0,5.0,3.979166666666666,3.906477438136827,3.2941176470588234,15,7,5.0
2012,2002.0,The Importance of Being Earnest,3.248310475054661,3.4444444444444446,4.0,97,3.0,3.0,3.0,3.373560936879714,3.3345588235294117,4,7,3.0
2112,2003.0,Identity,3.2589605734767026,3.2211538461538463,4.0,90,2.0,2.0,2.0833333333333335,3.2925764192139737,3.2941176470588234,9,8,2.0
2200,2002.0,Collateral Damage,3.3090524195994226,3.2211538461538463,4.0,108,3.0,3.0,3.0,3.178546274123116,3.2941176470588234,0,6,3.0
2391,2004.0,Along Came Polly,3.2019230769230766,3.3125,4.0,90,3.0,3.0,3.0625,3.178546274123116,3.2941176470588234,9,6,3.0
2452,2001.0,Lord of the Rings: The Fellowship of the Ring,3.312756123303126,3.3125,4.0,178,4.0,4.0,4.083333333333333,3.646288209606987,3.480392156862745,234,9,4.0
2705,2001.0,How High,3.0769230769230766,3.2211538461538463,4.0,93,3.0,3.0,3.125,3.2925764192139737,3.2941176470588234,0,7,3.0
2734,2001.0,From Hell,3.32078853046595,3.2211538461538463,4.0,122,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,9,7,3.0
2743,2002.0,The Pianist,3.5803617571059427,3.2211538461538463,4.0,150,5.0,5.0,4.75,3.415707291253143,3.8346153846153843,125,9,5.0
2800,2001.0,Serendipity,3.2019230769230766,3.3125,4.0,90,2.0,2.0,2.8333333333333335,3.3129548762736536,3.2941176470588234,3,7,2.0
2874,2003.0,Elf,3.256410256410257,3.4444444444444446,4.0,97,2.0,2.0,2.3333333333333335,3.2925764192139737,3.3595588235294116,9,7,2.0
2899,2004.0,Riding Giants,3.337037037037037,3.3125,4.0,105,4.0,4.0,4.0,3.2925764192139737,3.416289592760181,2,8,4.0
3111,2000.0,Nora,3.5705426356589145,3.2211538461538463,4.0,106,3.0,3.0,3.0,3.2018437651625424,3.416666666666667,10,7,3.0
3151,2004.0,Napoleon Dynamite,3.1538461538461537,3.4444444444444446,4.0,96,4.0,4.0,4.0,3.2925764192139737,3.2941176470588234,32,7,4.0
3254,2003.0,Daredevil,3.2534968640438673,3.3125,4.0,103,3.0,3.0,3.0,3.1345625101083616,3.2941176470588234,21,6,3.0
3320,2002.0,About a Boy,3.248310475054661,3.3125,4.0,101,3.0,3.125,3.0,3.2925764192139737,3.408144796380091,40,8,3.0
3333,2004.0,The Village,3.2863354727570786,3.3125,4.0,108,3.0,3.0,3.4583333333333335,3.2925764192139737,3.2941176470588234,26,7,3.0
3385,2002.0,28 Days Later,3.313125289869476,3.2211538461538463,4.0,113,3.0,3.0,3.0,3.178546274123116,3.375,36,8,3.0
3427,2002.0,Men in Black II,3.2503430841459013,3.3125,4.0,88,3.0,3.0,2.6666666666666665,3.2925764192139737,3.2941176470588234,16,7,3.0
3434,2002.0,The Mothman Prophecies,3.3048539912755968,3.3125,4.0,119,3.0,3.0,3.25,3.2925764192139737,3.2941176470588234,3,7,3.0
3505,2001.0,Freddy Got Fingered,3.1538461538461537,3.2211538461538463,4.0,87,1.0,1.0,1.25,3.2925764192139737,3.2941176470588234,17,5,1.0
3626,2002.0,25th Hour,3.3410852713178296,3.2211538461538463,4.0,135,3.0,3.0,2.9166666666666665,3.2925764192139737,3.2941176470588234,19,8,3.0
3638,2003.0,Bad Boys II,3.191083824886642,3.2211538461538463,4.0,147,3.0,3.0,3.0,3.178546274123116,3.2941176470588234,17,7,3.0
3686,2001.0,Good Advice,3.2019230769230766,3.2211538461538463,4.0,93,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,0,7,3.0
3689,2005.0,The Amityville Horror,3.3048539912755968,3.2211538461538463,4.0,90,4.0,3.9,4.0,3.2925764192139737,3.2941176470588234,6,6,4.0
3713,2004.0,Saw,3.32078853046595,3.2211538461538463,4.0,103,4.0,4.0,3.875,3.2925764192139737,3.2941176470588234,18,8,4.0
3756,2002.0,About Schmidt,3.2474657125819917,3.2211538461538463,4.0,125,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,93,8,3.0
3825,2002.0,The Sum of All Fears,3.3090524195994226,3.3125,4.0,124,4.0,4.0,4.0,3.5827577080852193,3.3595588235294116,6,7,4.0
3860,2003.0,Bruce Almighty,3.164977141721328,3.3125,4.0,101,3.0,3.0,2.9375,3.178546274123116,3.2941176470588234,15,7,3.0
3894,2004.0,Surviving Christmas,3.2019230769230766,3.3125,4.0,91,3.0,3.0,3.0,3.178546274123116,3.2941176470588234,5,6,3.0
3917,2004.0,Garden State,3.248310475054661,3.2211538461538463,4.0,102,3.0,3.0,3.0,3.146288209606987,3.2941176470588234,50,8,3.0
3934,2002.0,The Original Latin Kings of Comedy,3.1324786324786325,3.2211538461538463,4.0,86,3.0,3.0,3.0,3.178546274123116,3.2941176470588234,0,7,3.0
3966,2004.0,Friday Night Lights,3.312756123303126,3.3125,4.0,118,4.0,4.0,3.8666666666666667,3.2925764192139737,3.2941176470588234,7,8,4.0
4043,2002.0,Signs,3.2079878944095,3.3125,4.0,106,3.0,3.0,3.0833333333333335,3.2462882096069867,3.2941176470588234,33,7,3.0
4089,1987.0,Innerspace,3.2503430841459013,3.4444444444444446,4.0,120,3.0,3.0,3.125,3.2925764192139737,3.2941176470588234,6,7,3.0
4149,2004.0,Scooby-Doo 2: Monsters Unleashed,3.3897435897435897,3.4444444444444446,4.0,93,3.3333333333333335,4.0,3.9166666666666665,3.2925764192139737,3.3470588235294114,3,5,4.0
4159,2002.0,Barbershop,3.2474657125819917,3.3125,4.0,102,4.5,5.0,3.841666666666667,3.2925764192139737,3.2941176470588234,18,7,5.0
4266,2004.0,The Passion of the Christ,3.3410852713178296,3.2211538461538463,4.0,127,5.0,5.0,4.875,4.583333333333333,3.2941176470588234,48,8,5.0
4315,2004.0,In Good Company,3.248310475054661,3.3125,4.0,109,3.0,3.0,3.125,3.2925764192139737,3.2941176470588234,9,7,3.0
4372,2001.0,To End All Wars,3.379422789969793,3.2211538461538463,4.0,117,4.0,4.0,4.0,3.346288209606987,3.2941176470588234,7,8,4.0
4389,2003.0,A Man Apart,3.2534968640438673,3.2211538461538463,4.0,109,3.0,3.0,3.375,3.178546274123116,3.3595588235294116,1,7,3.0
4429,2002.0,Undisputed,3.2534968640438673,3.2211538461538463,4.0,94,2.0,2.0,2.125,3.2925764192139737,3.3595588235294116,2,7,2.0
4660,2001.0,The Shipping News,3.3410852713178296,3.2211538461538463,4.0,111,3.0,3.0,3.5416666666666665,3.2925764192139737,3.2941176470588234,14,7,3.0
4745,2003.0,Bringing Down the House,3.1538461538461537,3.3125,4.0,105,4.0,3.0,3.25,3.2925764192139737,3.2941176470588234,17,6,3.0
4951,2003.0,Runaway Jury,3.3649870801033592,3.3125,4.0,127,3.0,3.2,2.9583333333333335,3.245673621219473,3.2941176470588234,3,8,3.0
5042,2003.0,Deliver Us From Eva,3.248310475054661,3.2211538461538463,4.0,105,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,16,7,3.0
5047,2001.0,Max Keeble's Big Move,3.3304843304843303,3.4444444444444446,4.0,86,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,2,6,3.0
5071,2005.0,Fever Pitch,3.248310475054661,3.3125,4.0,104,3.5,3.8333333333333335,4.083333333333333,3.2925764192139737,3.3595588235294116,9,7,4.0
5239,2005.0,The Longest Yard,3.258689458689459,3.3125,4.0,113,4.0,3.0,3.0,3.2925764192139737,3.2941176470588234,19,7,3.0
5333,2002.0,Big Fat Liar,3.3897435897435897,3.4444444444444446,4.0,88,3.5,3.0,2.875,3.2925764192139737,3.3595588235294116,4,6,3.0
5545,2002.0,Bad Company,3.2503430841459013,3.3125,4.0,116,3.0,2.0,2.6041666666666665,3.2925764192139737,3.1470588235294117,0,6,2.0
5695,2003.0,Bad Santa,3.2390512157954023,3.2211538461538463,4.0,91,3.0,3.0,3.2,3.2925764192139737,3.3595588235294116,13,8,3.0
5699,2002.0,Joshua,3.3410852713178296,4.0,4.0,91,5.0,5.0,5.0,3.2925764192139737,3.2941176470588234,0,7,5.0
5895,2001.0,The Majestic,3.295542635658915,3.4444444444444446,4.0,152,2.0,2.0,2.125,3.2925764192139737,3.2941176470588234,4,7,2.0
6030,2001.0,I Am Sam,3.3410852713178296,3.3125,4.0,132,4.0,4.0,3.75,3.2925764192139737,3.2941176470588234,19,8,4.0
6042,2004.0,Starsky & Hutch,3.1880341880341883,3.3125,4.0,101,4.0,3.3333333333333335,3.0625,3.146288209606987,3.2941176470588234,12,7,3.0
6134,2004.0,Collateral,3.31739879414298,3.2211538461538463,4.0,120,3.0,4.0,3.2916666666666665,3.178546274123116,3.2941176470588234,88,8,4.0
6206,2002.0,My Big Fat Greek Wedding,3.33974358974359,3.4444444444444446,4.0,95,3.0,3.0,3.0,3.146288209606987,3.3470588235294114,48,7,3.0
6235,2002.0,A Walk to Remember,3.295542635658915,3.4444444444444446,4.0,101,4.0,5.0,5.0,3.2925764192139737,3.2941176470588234,6,8,5.0
6343,2001.0,Joe Somebody,3.2474657125819917,3.4444444444444446,4.0,98,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,1,6,3.0
6347,2000.0,Big Momma's House,3.191083824886642,3.3125,4.0,99,3.3333333333333335,2.0,2.7083333333333335,3.2925764192139737,3.3595588235294116,9,6,2.0
6450,2002.0,City of God,3.2816537467700257,3.2211538461538463,4.0,130,3.0,3.0,3.0,3.2,3.769230769230769,106,9,3.0
6464,2002.0,Unfaithful,3.3649870801033592,3.2211538461538463,4.0,124,5.0,5.0,4.75,3.3129548762736536,3.4191930618401205,17,7,5.0
6497,2002.0,Murder By Numbers,3.2467144563918757,3.2211538461538463,4.0,115,4.0,4.0,4.0,3.2925764192139737,3.2941176470588234,2,7,4.0
6555,2002.0,Insomnia,3.2863354727570786,3.2211538461538463,4.0,118,3.0,3.0,3.0,3.2925764192139737,3.3470588235294114,11,8,3.0
6631,2005.0,Be Cool,3.258689458689459,3.3125,4.0,118,3.0,3.0,3.5,3.396288209606987,3.2941176470588234,14,6,3.0
6829,2002.0,High Crimes,3.2307799172015224,3.3125,4.0,115,4.0,4.0,3.8541666666666665,3.178546274123116,3.2941176470588234,2,7,4.0
6844,2001.0,The Fast and the Furious,3.26943140323422,3.3125,4.0,106,5.0,4.8,4.5,3.2925764192139737,3.3595588235294116,21,7,5.0
6859,2003.0,Cheaper by the Dozen,3.3846153846153846,3.4444444444444446,4.0,98,3.5,4.0,3.875,3.2925764192139737,3.2941176470588234,9,6,4.0
6983,2004.0,Connie and Carla,3.258689458689459,3.3125,4.0,98,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,1,7,3.0
7032,2002.0,Austin Powers in Goldmember,3.191083824886642,3.3125,4.0,94,3.5,3.0,3.0,3.3701138017731904,3.2941176470588234,26,7,3.0
7048,2003.0,Agent Cody Banks,3.2503430841459013,3.4444444444444446,4.0,102,3.0,3.0,3.0,3.2925764192139737,3.3470588235294114,4,5,3.0
7281,2001.0,Monster's Ball,3.295542635658915,3.2211538461538463,4.0,111,4.0,4.0,3.95,3.2925764192139737,3.2941176470588234,37,8,4.0
7544,2002.0,Orange County,3.2474657125819917,3.3125,4.0,82,2.0,2.0,2.125,3.178546274123116,3.2941176470588234,3,7,2.0
7635,2004.0,Anchorman: The Legend of Ron Burgundy,3.1538461538461537,3.3125,4.0,94,3.0,3.0,3.0833333333333335,3.2301419605265216,3.2941176470588234,12,8,3.0
7755,2003.0,Touching the Void,3.284065460809647,3.2211538461538463,4.0,106,3.0,3.0,3.0,3.2925764192139737,3.3345588235294117,16,9,3.0
7786,2003.0,The Station Agent,3.2474657125819917,3.2211538461538463,4.0,89,3.0,3.0,3.0,3.178546274123116,3.2941176470588234,60,8,3.0
7820,2002.0,Brown Sugar,3.248310475054661,3.3125,4.0,109,4.0,4.0,3.875,3.2925764192139737,3.2941176470588234,20,7,4.0
7882,2002.0,Blood Work,3.2534968640438673,3.2211538461538463,4.0,110,3.0,3.0,2.9166666666666665,3.178546274123116,3.2941176470588234,1,7,3.0
7904,2002.0,Punch-Drunk Love,3.248310475054661,3.2211538461538463,4.0,95,2.0,2.0,2.3125,3.2925764192139737,3.2941176470588234,49,8,2.0
7911,2001.0,Bones,3.3333333333333335,3.2211538461538463,4.0,96,4.0,4.0,3.875,3.2301419605265216,3.2941176470588234,1,5,4.0
7928,2002.0,Antwone Fisher,3.5705426356589145,3.3125,4.0,120,5.0,5.0,4.666666666666666,3.346288209606987,3.2941176470588234,40,8,5.0
7971,2001.0,In the Bedroom,3.2816537467700257,3.2211538461538463,4.0,130,3.0,3.0,3.125,2.97962154294032,3.2941176470588234,112,8,3.0
7987,2003.0,Wrong Turn,3.416666666666667,3.2211538461538463,4.0,84,4.0,4.0,4.0,3.2925764192139737,3.3595588235294116,3,7,4.0
7991,2003.0,The Hunted,3.2534968640438673,3.2211538461538463,4.0,94,2.0,2.0,2.375,2.97962154294032,3.2941176470588234,2,6,2.0
8014,2002.0,All About the Benjamins,3.191083824886642,3.2211538461538463,4.0,95,4.0,4.0,3.925,3.3129548762736536,3.3595588235294116,0,6,4.0
8045,2003.0,Open Range,3.363695090439277,3.2211538461538463,4.0,139,3.0,3.0,3.125,3.2925764192139737,3.2941176470588234,5,8,3.0
8333,2004.0,The Grudge,3.32078853046595,3.3125,4.0,91,3.0,3.0,3.1666666666666665,3.346288209606987,3.3470588235294114,12,6,3.0
8387,2002.0,Minority Report,3.1600205035007396,3.3125,4.0,145,3.0,3.0,3.0416666666666665,3.146288209606987,3.2941176470588234,95,8,3.0
8393,2004.0,Ladder 49,3.3090524195994226,3.3125,4.0,115,4.0,4.0,3.7083333333333335,3.2925764192139737,3.2941176470588234,7,7,4.0
8483,2002.0,Showtime,3.191083824886642,3.3125,4.0,95,3.0,3.0,3.0833333333333335,3.2925764192139737,3.2720588235294117,7,6,3.0
8511,1958.0,The Long,3.3410852713178296,3.0,4.0,115,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,6,8,3.0
8635,2004.0,Mr. 3000,3.248310475054661,3.3125,4.0,104,3.5,4.0,4.0,3.2925764192139737,3.2941176470588234,6,6,4.0
8687,2002.0,Star Wars: Episode II: Attack of the Clones,3.1990610328638502,3.4444444444444446,4.0,142,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,70,7,3.0
8743,2002.0,Ice Age,3.3846153846153846,3.4444444444444446,4.0,81,3.0,2.9,3.125,3.2925764192139737,3.2941176470588234,34,8,3.0
8782,2001.0,The Royal Tenenbaums,3.2474657125819917,3.2211538461538463,4.0,110,3.0,3.0,3.0625,3.2018437651625424,3.2941176470588234,56,8,3.0
8808,2001.0,Brotherhood of the Wolf,3.312756123303126,3.2211538461538463,4.0,142,4.0,4.0,4.0,3.2996632996632997,3.5384615384615383,26,8,4.0
8809,2002.0,Star Trek: Nemesis,3.2503430841459013,3.3125,4.0,116,1.0,1.0,1.0,3.2925764192139737,3.2941176470588234,5,7,1.0
8954,2002.0,The Rookie,3.452156628900815,4.0,4.0,127,4.0,4.0,3.875,3.2925764192139737,3.2941176470588234,9,7,4.0
9136,2001.0,Charlotte Gray,3.3266580534022396,3.3125,4.0,121,4.0,4.0,4.0,3.2925764192139737,3.35,5,7,4.0
9156,2002.0,Dragonfly,3.156705843127449,3.3125,4.0,104,3.0,3.0,3.0,3.178546274123116,3.3595588235294116,1,7,3.0
9340,2001.0,Pearl Harbor,3.3460894566364594,3.3125,4.0,183,3.0,3.0,3.0,3.341969917515769,3.2941176470588234,62,7,3.0
9415,2005.0,Are We There Yet?,3.3897435897435897,3.4444444444444446,4.0,95,4.0,3.7777777777777772,3.8,3.2925764192139737,3.3470588235294114,9,5,4.0
9542,2001.0,Lantana,3.240039176460782,3.2211538461538463,4.0,121,2.0,2.0,2.0,3.2925764192139737,3.3375,58,8,2.0
9623,2002.0,On the Edge,3.1971830985915495,3.2211538461538463,4.0,97,2.0,2.0,2.125,3.2925764192139737,3.2941176470588234,0,5,2.0
9629,2002.0,Stranded,3.3705426356589148,3.5,4.0,120,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,0,7,3.0
9756,2002.0,Mr. Deeds,3.2019230769230766,3.3125,4.0,96,3.0,3.0,3.0625,3.2925764192139737,3.2941176470588234,11,6,3.0
9768,2003.0,Basic,3.2534968640438673,3.2211538461538463,4.0,98,3.0,3.0,3.0833333333333335,3.2925764192139737,3.3595588235294116,3,7,3.0
9800,2001.0,Shallow Hal,3.164977141721328,3.3125,4.0,114,3.5,3.0,2.875,3.2925764192139737,3.3595588235294116,3,6,3.0
9960,1988.0,Die Hard,3.293035993740219,3.2211538461538463,4.0,131,3.0,3.0,3.1666666666666665,3.2860776616235134,3.2941176470588234,12,9,3.0
9991,2001.0,Waking Life,3.3136950904392766,3.2211538461538463,4.0,99,5.0,5.0,5.0,3.2925764192139737,3.2941176470588234,25,8,5.0
10036,2004.0,Chris Rock: Never Scared,3.1324786324786325,3.5,4.0,80,3.0,3.0,2.9166666666666665,3.2925764192139737,3.2941176470588234,5,9,3.0
10275,2004.0,The Girl Next Door,3.248310475054661,3.2211538461538463,4.0,108,4.0,4.0,3.875,3.2925764192139737,3.2941176470588234,6,7,4.0
10413,2002.0,Clockstoppers,3.2503430841459013,3.4444444444444446,4.0,94,3.0,3.095238095238095,3.0,3.2925764192139737,3.2941176470588234,0,6,3.0
10550,2003.0,Cold Mountain,3.413695090439276,3.2211538461538463,4.0,154,4.0,4.0,4.0,3.2925764192139737,3.4672794117647054,110,8,4.0
10596,2003.0,National Security,3.191083824886642,3.3125,4.0,88,5.0,5.0,4.458333333333334,3.2925764192139737,3.2941176470588234,0,6,5.0
10607,2002.0,We Were Soldiers,3.3460894566364594,3.2211538461538463,4.0,138,3.0,3.0,3.0,3.208636584182436,3.3595588235294116,7,8,3.0
10625,2002.0,Windtalkers,3.379422789969793,3.2211538461538463,4.0,134,3.0,3.0,2.875,3.230858806404658,3.2941176470588234,7,6,3.0
10685,2002.0,Hey Arnold! The Movie,3.3846153846153846,3.4444444444444446,4.0,76,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,1,6,3.0
10730,2002.0,Gangs of New York,3.2816537467700257,3.2211538461538463,4.0,167,4.0,4.0,3.625,3.7606441048034935,3.2470588235294118,174,8,4.0
10892,2001.0,The Unsaid,3.2307799172015224,3.2211538461538463,4.0,111,4.0,4.0,3.875,3.2925764192139737,3.3470588235294114,2,7,4.0
10894,2001.0,Ali,3.5136950904392763,3.2211538461538463,4.0,157,3.0,2.0,2.7916666666666665,3.3129548762736536,3.2941176470588234,37,7,2.0
10947,2004.0,The Incredibles,3.39906103286385,3.4444444444444446,4.0,115,4.0,4.0,3.5833333333333335,3.3129548762736536,3.2941176470588234,114,8,4.0
10962,2002.0,Rollerball,3.2503430841459013,3.2211538461538463,4.0,98,3.0,3.0,3.0,3.3781602676799176,3.3730392156862745,6,3,3.0
11022,2004.0,Fahrenheit 9/11,3.3507321274763133,3.2211538461538463,4.0,122,3.0,3.0,3.0,3.47962154294032,3.2941176470588234,44,8,3.0
11077,2004.0,Meet the Fockers,3.2019230769230766,3.3125,4.0,115,3.5,4.0,3.5208333333333335,3.619030849415411,3.2941176470588234,8,7,4.0
11110,2001.0,Down to Earth,3.0769230769230766,3.3125,4.0,87,3.0,3.0,2.9375,3.2925764192139737,3.342279411764706,3,6,3.0
11132,2003.0,The Texas Chainsaw Massacre,3.4444444444444446,3.2211538461538463,4.0,98,3.0,3.1666666666666665,3.0,3.2925764192139737,3.2941176470588234,18,7,3.0
11182,2003.0,Master and Commander: The Far Side of the World,3.312756123303126,3.3125,4.0,138,3.0,3.0,3.125,3.2753032508491025,3.2941176470588234,103,8,3.0
11256,2003.0,Malibu's Most Wanted,3.1880341880341883,3.3125,4.0,86,3.0,3.0,3.2916666666666665,3.2925764192139737,3.2941176470588234,3,6,3.0
11286,1994.0,White Fang 2: Myth of the White Wolf,3.5076923076923077,3.4444444444444446,4.0,106,5.0,5.0,5.0,3.2925764192139737,3.2941176470588234,0,6,5.0
11323,2003.0,Shanghai Knights,3.2503430841459013,3.3125,4.0,114,3.0,3.0,2.9166666666666665,3.3129548762736536,3.1470588235294117,4,7,3.0
11478,2003.0,Biker Boyz,3.2691341849546895,3.3125,4.0,110,2.0,2.0,2.583333333333333,3.2925764192139737,3.2941176470588234,0,5,2.0
11521,2002.0,Lord of the Rings: The Two Towers,3.312756123303126,3.3125,4.0,179,4.0,4.0,4.083333333333333,3.7641921397379914,3.480392156862745,243,9,4.0
11812,2004.0,Million Dollar Baby,3.3705426356589148,3.3125,4.0,132,3.0,3.0,2.9791666666666665,3.396288209606987,3.2941176470588234,145,9,3.0
11929,1997.0,Anaconda,3.3472091810119977,3.3125,4.0,89,5.0,5.0,4.091666666666667,3.2925764192139737,4.098039215686274,16,5,5.0
11999,2002.0,The Hot Chick,3.0769230769230766,3.3125,4.0,104,3.0,3.0,3.25,3.2925764192139737,3.2941176470588234,4,6,3.0
12056,2004.0,Twisted,3.2307799172015224,3.2211538461538463,4.0,97,3.0,3.0,3.375,3.1560678864524476,3.3595588235294116,1,6,3.0
12471,2002.0,8 Mile,3.3705426356589148,3.2211538461538463,4.0,110,5.0,5.0,4.625,3.2925764192139737,3.3595588235294116,34,7,5.0
12493,2001.0,Spy Game,3.26943140323422,3.2211538461538463,4.0,126,4.0,4.0,4.0,3.349424374751886,3.4143947963800905,3,7,4.0
12494,2001.0,Behind Enemy Lines,3.379422789969793,3.3125,4.0,106,3.0,3.0,2.9166666666666665,3.0059398037282246,3.2941176470588234,3,7,3.0
12573,1999.0,Faces of Death / Fact or Fiction?,3.111111111111111,2.0,4.0,54,1.0,1.0,1.0,3.2925764192139737,3.2941176470588234,0,4,1.0
12582,2003.0,Mystic River,3.2307799172015224,3.2211538461538463,4.0,138,3.0,3.0,3.0416666666666665,3.2925764192139737,3.2720588235294117,186,8,3.0
12732,2004.0,Hidalgo,3.3657276995305168,3.3125,4.0,136,4.0,4.0,3.875,3.6530810286268802,3.6470588235294117,3,7,4.0
12838,1999.0,The Boondock Saints,3.26943140323422,3.2211538461538463,4.0,108,4.0,4.0,3.875,3.6214185096492466,3.3470588235294114,0,8,4.0
12911,1999.0,Double Jeopardy,3.2467144563918757,3.2211538461538463,4.0,105,4.0,4.0,3.6666666666666665,3.2925764192139737,3.3730392156862745,4,7,4.0
13255,2005.0,Crash,3.598591549295775,3.5,4.0,10,4.0,4.0,4.0,3.064516129032258,2.0,0,7,4.0
13318,2003.0,The Core,3.2503430841459013,3.3125,4.0,135,4.0,4.0,4.0,3.2925764192139737,3.373529411764706,0,6,4.0
13342,2003.0,Bulletproof Monk,3.1170097508125676,3.3125,4.0,104,3.0,3.0,3.0,3.1867804684398573,3.3470588235294114,1,6,3.0
13412,2000.0,Billy Elliot,3.3303617571059427,3.2211538461538463,4.0,110,3.0,3.0,3.0,3.2925764192139737,3.456730769230769,120,8,3.0
13524,2002.0,Enough,3.31739879414298,3.3125,4.0,115,2.0,1.0,1.6666666666666665,3.2925764192139737,3.2941176470588234,4,6,1.0
13555,2003.0,Hollywood Homicide,3.191083824886642,3.3125,4.0,116,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,1,6,3.0
13559,2001.0,In the Time of the Butterflies,3.271102497846684,3.3125,4.0,95,3.0,3.0,3.0,3.2925764192139737,2.8970588235294117,4,7,3.0
13561,2003.0,Monsieur Ibrahim,3.2474657125819917,3.2211538461538463,4.0,95,3.0,3.0,3.125,3.666666666666667,3.5384615384615383,11,8,3.0
13602,1982.0,The Man from Snowy River,3.452156628900815,3.4444444444444446,4.0,102,4.0,4.0,4.0,3.2925764192139737,3.25,5,8,4.0
13827,2001.0,Riding in Cars with Boys,3.4316438083879945,3.3125,4.0,132,4.0,4.0,4.333333333333333,3.2925764192139737,3.2941176470588234,4,7,4.0
14047,2003.0,Tears of the Sun,3.3090524195994226,3.2211538461538463,4.0,121,3.0,3.0,3.1666666666666665,3.2925764192139737,3.2941176470588234,2,7,3.0
14096,2003.0,Step Into Liquid,3.2555555555555555,3.4444444444444446,4.0,88,4.0,4.0,4.0,3.2925764192139737,3.2941176470588234,2,8,4.0
