Number,Year,Title,Genre,Rated,Type,imdbRating,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbVotes,imdbID,NetflixRating
1180,2001.0,A Beautiful Mind,"Biography, Drama",PG-13,movie,8.2,135 min,Ron Howard,"Akiva Goldsman, Sylvia Nasar (book)","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",English,USA,Won 4 Oscars. Another 33 wins & 63 nominations.,"619,615",tt0268978,4.0
1307,2003.0,S.W.A.T.,"Action, Adventure, Crime",PG-13,movie,6.0,117 min,Clark Johnson,"Robert Hamner (characters), Ron Mita (story), Jim McClain (story), David Ayer (screenplay), David McKenna (screenplay)","Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J","English, Spanish, French",USA,5 wins & 5 nominations.,"120,760",tt0257076,3.0
1428,2003.0,The Recruit,"Action, Drama, Mystery",PG-13,movie,6.6,115 min,Roger Donaldson,"Roger Towne, Kurt Wimmer, Mitch Glazer","Al Pacino, Colin Farrell, Bridget Moynahan, Gabriel Macht","English, Persian, Russian",USA,2 nominations.,"114,194",tt0292506,3.0
1590,2001.0,Life as a House,Drama,R,movie,7.5,125 min,Irwin Winkler,Mark Andrus,"Kevin Kline, Kristin Scott Thomas, Hayden Christensen, Jena Malone",English,USA,Nominated for 1 Golden Globe. Another 2 wins & 8 nominations.,"39,264",tt0264796,3.0
1637,2002.0,Trapped,"Crime, Drama, Thriller",R,movie,6.2,106 min,Luis Mandoki,"Greg Iles (novel), Greg Iles (screenplay)","Charlize Theron, Courtney Love, Stuart Townsend, Kevin Bacon",English,"USA, Germany",0,"19,642",tt0280380,3.0
1962,2004.0,50 First Dates,"Comedy, Romance",PG-13,movie,6.8,99 min,Peter Segal,George Wing,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin","English, Hawaiian, Mandarin, Turkish",USA,6 wins & 9 nominations.,"268,524",tt0343660,5.0
2012,2002.0,The Importance of Being Earnest,"Comedy, Drama, Romance",PG,movie,6.9,97 min,Oliver Parker,"Oscar Wilde (play), Oliver Parker (screenplay)","Rupert Everett, Colin Firth, Frances O'Connor, Reese Witherspoon","English, German","UK, USA",2 wins & 2 nominations.,"19,137",tt0278500,3.0
2112,2003.0,Identity,"Mystery, Thriller",R,movie,7.3,90 min,James Mangold,Michael Cooney,"John Cusack, Ray Liotta, Amanda Peet, John Hawkes",English,USA,1 win & 8 nominations.,"180,088",tt0309698,2.0
2200,2002.0,Collateral Damage,"Action, Drama, Thriller",R,movie,5.5,108 min,Andrew Davis,"Ronald Roose (story), David Griffiths (story), Peter Griffiths (story), David Griffiths (screenplay), Peter Griffiths (screenplay)","Arnold Schwarzenegger, Francesca Neri, Elias Koteas, Cliff Curtis","English, Spanish",USA,0,"61,830",tt0233469,3.0
2391,2004.0,Along Came Polly,"Comedy, Romance",PG-13,movie,5.9,90 min,John Hamburg,John Hamburg,"Ben Stiller, Jennifer Aniston, Philip Seymour Hoffman, Debra Messing","English, Spanish",USA,1 win & 8 nominations.,"107,767",tt0343135,3.0
2452,2001.0,Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",PG-13,movie,8.8,178 min,Peter Jackson,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)","Alan Howard, Noel Appleby, Sean Astin, Sala Baker","English, Sindarin","New Zealand, USA",Won 4 Oscars. Another 108 wins & 122 nominations.,"1,252,518",tt0120737,4.0
2705,2001.0,How High,"Comedy, Fantasy",R,movie,6.2,93 min,Jesse Dylan,Dustin Lee Abraham,"Method Man, Redman, Obba Babatundé, Mike Epps",English,USA,0,"43,121",tt0278488,3.0
2734,2001.0,From Hell,"Horror, Mystery, Thriller",R,movie,6.8,122 min,"Albert Hughes, Allen Hughes","Alan Moore (graphic novel), Eddie Campbell (graphic novel), Terry Hayes (screenplay), Rafael Yglesias (screenplay)","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane",English,USA,9 nominations.,"126,142",tt0120681,3.0
2743,2002.0,The Pianist,"Biography, Drama, War",R,movie,8.5,150 min,Roman Polanski,"Ronald Harwood (screenplay), Wladyslaw Szpilman (book)","Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard","English, German, Russian","France, Poland, Germany, UK",Won 3 Oscars. Another 52 wins & 70 nominations.,"503,532",tt0253474,5.0
2800,2001.0,Serendipity,"Comedy, Romance",PG-13,movie,6.9,90 min,Peter Chelsom,Marc Klein,"John Cusack, Kate Beckinsale, Jeremy Piven, Bridget Moynahan","English, French",USA,3 nominations.,"85,745",tt0240890,2.0
2874,2003.0,Elf,"Comedy, Family, Fantasy",PG,movie,6.9,97 min,Jon Favreau,David Berenbaum,"Will Ferrell, James Caan, Bob Newhart, Edward Asner",English,"USA, Germany",2 wins & 7 nominations.,"148,476",tt0319343,2.0
2899,2004.0,Riding Giants,"Documentary, History, Sport",PG-13,movie,7.9,105 min,Stacy Peralta,"Stacy Peralta, Sam George","Jeff Clark, Darrick Doerner, Sarah Gerhardt, Laird John Hamilton",English,"USA, France",1 win & 1 nomination.,"3,868",tt0389326,4.0
3111,2000.0,Nora,"Biography, Drama",R,movie,6.1,106 min,Pat Murphy,"Brenda Maddox (based on the biography: written by), Pat Murphy, Gerard Stembridge","Susan Lynch, Andrew Scott, Vinnie McCabe, Veronica Duffy","English, Italian","Ireland, UK, Italy, Germany",3 wins & 7 nominations.,"1,346",tt0158033,3.0
3151,2004.0,Napoleon Dynamite,Comedy,PG,movie,6.9,96 min,Jared Hess,"Jared Hess, Jerusha Hess","Jon Heder, Jon Gries, Aaron Ruell, Efren Ramirez",English,USA,10 wins & 22 nominations.,"162,977",tt0374900,4.0
3254,2003.0,Daredevil,"Action, Crime, Drama",PG-13,movie,5.3,103 min,Mark Steven Johnson,Mark Steven Johnson (screenplay),"Ben Affleck, Jennifer Garner, Colin Farrell, Michael Clarke Duncan","English, Greek, Italian",USA,5 wins & 16 nominations.,"177,244",tt0287978,3.0
3320,2002.0,About a Boy,"Comedy, Drama, Romance",PG-13,movie,7.1,101 min,"Chris Weitz, Paul Weitz","Nick Hornby (novel), Peter Hedges (screenplay), Chris Weitz (screenplay), Paul Weitz (screenplay)","Hugh Grant, Nicholas Hoult, Sharon Small, Madison Cook",English,"UK, USA, France, Germany",Nominated for 1 Oscar. Another 11 wins & 28 nominations.,"144,441",tt0276751,3.0
3333,2004.0,The Village,"Drama, Mystery, Thriller",PG-13,movie,6.5,108 min,M. Night Shyamalan,M. Night Shyamalan,"Bryce Dallas Howard, Joaquin Phoenix, Adrien Brody, William Hurt",English,USA,Nominated for 1 Oscar. Another 4 wins & 21 nominations.,"195,370",tt0368447,3.0
3385,2002.0,28 Days Later,"Drama, Horror, Sci-Fi",R,movie,7.6,113 min,Danny Boyle,Alex Garland,"Alex Palmer, Bindu De Stoppani, Jukka Hiltunen, David Schneider","English, Spanish",UK,9 wins & 27 nominations.,"300,822",tt0289043,3.0
3427,2002.0,Men in Black II,"Action, Adventure, Comedy",PG-13,movie,6.1,88 min,Barry Sonnenfeld,"Lowell Cunningham (comic book ""Malibu Comics""), Robert Gordon (story), Robert Gordon (screenplay), Barry Fanaro (screenplay)","Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle",English,USA,4 wins & 12 nominations.,"271,951",tt0120912,3.0
3434,2002.0,The Mothman Prophecies,"Drama, Horror, Mystery",PG-13,movie,6.5,119 min,Mark Pellington,"Richard Hatem (screenplay), John A. Keel (novel)","Richard Gere, David Eigenberg, Bob Tracey, Ron Emanuel",English,USA,1 win & 2 nominations.,"64,207",tt0265349,3.0
3505,2001.0,Freddy Got Fingered,Comedy,R,movie,4.5,87 min,Tom Green,"Tom Green, Derek Harvie","Tom Green, Rip Torn, Marisa Coughlan, Eddie Kaye Thomas",English,USA,12 wins & 5 nominations.,"39,956",tt0240515,1.0
3626,2002.0,25th Hour,Drama,R,movie,7.7,135 min,Spike Lee,"David Benioff (novel), David Benioff (screenplay)","Edward Norton, Philip Seymour Hoffman, Barry Pepper, Rosario Dawson",English,USA,Nominated for 1 Golden Globe. Another 4 wins & 14 nominations.,"150,830",tt0307901,3.0
3638,2003.0,Bad Boys II,"Action, Comedy, Crime",R,movie,6.6,147 min,Michael Bay,"George Gallo (characters), Marianne Wibberley (story), Cormac Wibberley (story), Ron Shelton (story), Ron Shelton (screenplay), Jerry Stahl (screenplay)","Martin Lawrence, Will Smith, Jordi Mollà, Gabrielle Union","English, Spanish",USA,5 wins & 12 nominations.,"179,672",tt0172156,3.0
3686,2001.0,Good Advice,"Comedy, Romance",R,movie,6.2,93 min,Steve Rash,"Daniel Margosis, Robert Horn","Charlie Sheen, Angie Harmon, Denise Richards, Jon Lovitz",English,USA,0,"5,832",tt0243931,3.0
3689,2005.0,The Amityville Horror,"Drama, Horror, Mystery",R,movie,6.0,90 min,Andrew Douglas,"Scott Kosar (screenplay), Jay Anson (novel), Sandor Stern (earlier screenplay), George Lutz (material), Kathy Lutz (material)","Ryan Reynolds, Melissa George, Jesse James, Jimmy Bennett",English,USA,2 wins & 4 nominations.,"81,950",tt0384806,4.0
3713,2004.0,Saw,"Horror, Mystery, Thriller",R,movie,7.7,103 min,James Wan,"Leigh Whannell, James Wan (story), Leigh Whannell (story)","Leigh Whannell, Cary Elwes, Danny Glover, Ken Leung",English,USA,8 wins & 10 nominations.,"302,070",tt0387564,4.0
3756,2002.0,About Schmidt,"Comedy, Drama",R,movie,7.2,125 min,Alexander Payne,"Louis Begley (novel), Alexander Payne (screenplay), Jim Taylor (screenplay)","Jack Nicholson, Kathy Bates, Hope Davis, Dermot Mulroney",English,USA,Nominated for 2 Oscars. Another 24 wins & 67 nominations.,"108,214",tt0257360,3.0
3825,2002.0,The Sum of All Fears,"Action, Drama, Thriller",PG-13,movie,6.4,124 min,Phil Alden Robinson,"Tom Clancy (novel), Paul Attanasio (screenplay), Daniel Pyne (screenplay)","Ian Mongrain, Russell Bobbitt, James Cromwell, Ken Jenkins","English, Russian, Ukrainian, German, Arabic","USA, Germany",2 wins & 4 nominations.,"87,145",tt0164184,4.0
3860,2003.0,Bruce Almighty,"Comedy, Drama, Fantasy",PG-13,movie,6.7,101 min,Tom Shadyac,"Steve Koren (story), Mark O'Keefe (story), Steve Koren (screenplay), Mark O'Keefe (screenplay), Steve Oedekerk (screenplay)","Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall","English, Spanish",USA,7 wins & 8 nominations.,"301,455",tt0315327,3.0
3894,2004.0,Surviving Christmas,"Comedy, Romance",PG-13,movie,5.3,91 min,Mike Mitchell,"Deborah Kaplan (story), Harry Elfont (story), Deborah Kaplan (screenplay), Harry Elfont (screenplay), Jennifer Ventimilia (screenplay), Joshua Sternin (screenplay)","Ben Affleck, James Gandolfini, Christina Applegate, Catherine O'Hara","English, Spanish",USA,1 win & 4 nominations.,"17,396",tt0252028,3.0
3917,2004.0,Garden State,"Comedy, Drama, Romance",R,movie,7.6,102 min,Zach Braff,Zach Braff,"Zach Braff, Kenneth Graymez, George C. Wolfe, Austin Lysy","English, Klingon",USA,13 wins & 37 nominations.,"188,415",tt0333766,3.0
3934,2002.0,The Original Latin Kings of Comedy,"Documentary, Comedy",R,movie,6.8,86 min,Jeb Brien,"George Lopez, Cheech Marin, Paul Rodriguez","Nayib Estefan, George Lopez, Cheech Marin, Joey Medina","Spanish, English",USA,0,268,tt0332720,3.0
3966,2004.0,Friday Night Lights,"Action, Drama, Sport",PG-13,movie,7.3,118 min,Peter Berg,"Buzz Bissinger (book), David Aaron Cohen (screenplay), Peter Berg (screenplay)","Billy Bob Thornton, Lucas Black, Garrett Hedlund, Derek Luke",English,USA,2 wins & 5 nominations.,"47,677",tt0390022,4.0
4043,2002.0,Signs,"Drama, Mystery, Sci-Fi",PG-13,movie,6.7,106 min,M. Night Shyamalan,M. Night Shyamalan,"Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin","English, Portuguese",USA,3 wins & 30 nominations.,"273,481",tt0286106,3.0
4089,1987.0,Innerspace,"Action, Adventure, Comedy",PG,movie,6.7,120 min,Joe Dante,"Chip Proser (story), Jeffrey Boam (screenplay), Chip Proser (screenplay)","Dennis Quaid, Martin Short, Meg Ryan, Kevin McCarthy",English,USA,Won 1 Oscar. Another 1 win & 4 nominations.,"42,261",tt0093260,3.0
4149,2004.0,Scooby-Doo 2: Monsters Unleashed,"Adventure, Comedy, Family",PG,movie,4.9,93 min,Raja Gosnell,"William Hanna (characters), Joseph Barbera (characters), James Gunn","Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini",English,"USA, Canada",1 win & 2 nominations.,"33,451",tt0331632,4.0
4159,2002.0,Barbershop,"Comedy, Drama",PG-13,movie,6.3,102 min,Tim Story,"Mark Brown (story), Mark Brown (screenplay), Don D. Scott (screenplay), Marshall Todd (screenplay)","Ice Cube, Anthony Anderson, Cedric the Entertainer, Sean Patrick Thomas",English,USA,1 win & 17 nominations.,"22,508",tt0303714,5.0
4266,2004.0,The Passion of the Christ,Drama,R,movie,7.1,127 min,Mel Gibson,"Benedict Fitzgerald (screenplay), Mel Gibson (screenplay)","Jim Caviezel, Maia Morgenstern, Christo Jivkov, Francesco De Vito","Aramaic, Latin, Hebrew",USA,Nominated for 3 Oscars. Another 25 wins & 20 nominations.,"180,590",tt0335345,5.0
4315,2004.0,In Good Company,"Comedy, Drama, Romance",PG-13,movie,6.5,109 min,Paul Weitz,Paul Weitz,"Dennis Quaid, Topher Grace, Scarlett Johansson, Marg Helgenberger",English,USA,2 wins & 7 nominations.,"49,063",tt0385267,3.0
4372,2001.0,To End All Wars,"Action, Drama, War",R,movie,7.1,117 min,David L. Cunningham,"Ernest Gordon (book), Brian Godawa (screenplay)","Ciarán McMenamin, Robert Carlyle, Kiefer Sutherland, Mark Strong","English, Japanese",USA,3 wins & 4 nominations.,"8,843",tt0243609,4.0
4389,2003.0,A Man Apart,"Action, Crime, Drama",R,movie,6.1,109 min,F. Gary Gray,"Christian Gudegast, Paul Scheuring","Vin Diesel, Larenz Tate, Timothy Olyphant, Geno Silva","English, Spanish","USA, Germany",1 nomination.,"38,640",tt0266465,3.0
4429,2002.0,Undisputed,"Action, Crime, Drama",R,movie,6.2,94 min,Walter Hill,"David Giler, Walter Hill","Wesley Snipes, Ving Rhames, Peter Falk, Michael Rooker",English,"USA, Germany",2 nominations.,"21,880",tt0281322,2.0
4660,2001.0,The Shipping News,Drama,R,movie,6.8,111 min,Lasse Hallström,"Annie Proulx (based on the novel by), Robert Nelson Jacobs (screenplay)","Kevin Spacey, Julianne Moore, Judi Dench, Cate Blanchett",English,USA,Nominated for 2 Golden Globes. Another 2 wins & 10 nominations.,"28,647",tt0120824,3.0
4745,2003.0,Bringing Down the House,Comedy,PG-13,movie,5.6,105 min,Adam Shankman,Jason Filardi,"Steve Martin, Queen Latifah, Eugene Levy, Joan Plowright",English,USA,4 wins & 13 nominations.,"30,242",tt0305669,3.0
4951,2003.0,Runaway Jury,"Drama, Thriller",PG-13,movie,7.1,127 min,Gary Fleder,"John Grisham (novel), Brian Koppelman (screenplay), David Levien (screenplay), Rick Cleveland (screenplay), Matthew Chapman (screenplay)","John Cusack, Gene Hackman, Dustin Hoffman, Rachel Weisz","English, French, Italian",USA,3 nominations.,"77,091",tt0313542,3.0
5042,2003.0,Deliver Us From Eva,"Comedy, Drama, Romance",R,movie,6.1,105 min,Gary Hardwick,"James Iver Mattson (story), B.E. Brauner (story), James Iver Mattson (screenplay), B.E. Brauner (screenplay), Gary Hardwick (screenplay)","LL Cool J, Gabrielle Union, Duane Martin, Essence Atkins",English,USA,4 wins & 12 nominations.,"4,520",tt0301181,3.0
5047,2001.0,Max Keeble's Big Move,"Comedy, Crime, Family",PG,movie,5.3,86 min,Tim Hill,"David L. Watts (story), Jonathan Bernstein (story), Mark Blackwell (story), James Greer (story), Jonathan Bernstein (screenplay), Mark Blackwell (screenplay), James Greer (screenplay)","Alex D. Linz, Larry Miller, Jamie Kennedy, Zena Grey",English,USA,1 win & 1 nomination.,"5,851",tt0273799,3.0
5071,2005.0,Fever Pitch,"Comedy, Drama, Romance",PG-13,movie,6.2,104 min,"Bobby Farrelly, Peter Farrelly","Lowell Ganz (screenplay), Babaloo Mandel (screenplay), Nick Hornby (novel)","Drew Barrymore, Jimmy Fallon, Jason Spevack, Jack Kehler",English,"USA, Germany",9 nominations.,"36,355",tt0332047,4.0
5239,2005.0,The Longest Yard,"Comedy, Crime, Sport",PG-13,movie,6.4,113 min,Peter Segal,"Albert S. Ruddy (story), Tracy Keenan Wynn, Sheldon Turner (screenplay)","Adam Sandler, Chris Rock, Burt Reynolds, Nelly",English,USA,2 wins & 17 nominations.,"131,501",tt0398165,3.0
5333,2002.0,Big Fat Liar,"Adventure, Comedy, Family",PG,movie,5.4,88 min,Shawn Levy,"Dan Schneider (story), Brian Robbins (story), Dan Schneider (screenplay)","Frankie Muniz, Paul Giamatti, Amanda Bynes, Amanda Detmer",English,"USA, Germany",1 win & 3 nominations.,"29,185",tt0265298,3.0
5545,2002.0,Bad Company,"Action, Adventure, Comedy",PG-13,movie,5.6,116 min,Joel Schumacher,"Gary M. Goodman (story), David Himmelstein (story), Jason Richman (screenplay), Michael Browning (screenplay)","Anthony Hopkins, Chris Rock, Peter Stormare, Gabriel Macht",English,"USA, Czech Republic",0,"39,960",tt0280486,2.0
5695,2003.0,Bad Santa,"Comedy, Crime, Drama",R,movie,7.1,91 min,Terry Zwigoff,"Glenn Ficarra, John Requa","Billy Bob Thornton, Tony Cox, Brett Kelly, Lauren Graham",English,"USA, Germany",Nominated for 1 Golden Globe. Another 1 win & 11 nominations.,"108,808",tt0307987,3.0
5699,2002.0,Joshua,Drama,G,movie,6.8,91 min,Jon Purdy,"Joseph F. Girzone (novel), Brad Mirman (screenplay), Keith Giglio (screenplay)","Tony Goldwyn, F. Murray Abraham, Kurt Fuller, Stacy Edwards",English,USA,0,"1,530",tt0271582,5.0
5895,2001.0,The Majestic,"Drama, Romance",PG,movie,6.9,152 min,Frank Darabont,Michael Sloane,"Jim Carrey, Bob Balaban, Jeffrey DeMunn, Hal Holbrook",English,USA,3 wins & 1 nomination.,"45,198",tt0268995,2.0
6030,2001.0,I Am Sam,Drama,PG-13,movie,7.6,132 min,Jessie Nelson,"Kristine Johnson, Jessie Nelson","Sean Penn, Michelle Pfeiffer, Dakota Fanning, Dianne Wiest",English,USA,Nominated for 1 Oscar. Another 8 wins & 10 nominations.,"122,868",tt0277027,4.0
6042,2004.0,Starsky & Hutch,"Comedy, Crime",PG-13,movie,6.1,101 min,Todd Phillips,"William Blinn (characters), Stevie Long (story), John O'Brien (story), John O'Brien (screenplay), Todd Phillips (screenplay), Scot Armstrong (screenplay)","Ben Stiller, Owen Wilson, Snoop Dogg, Fred Williamson","English, Korean",USA,3 wins & 9 nominations.,"121,493",tt0335438,3.0
6134,2004.0,Collateral,"Crime, Drama, Thriller",R,movie,7.6,120 min,Michael Mann,Stuart Beattie,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo","English, Spanish",USA,Nominated for 2 Oscars. Another 22 wins & 64 nominations.,"297,050",tt0369339,4.0
6206,2002.0,My Big Fat Greek Wedding,"Comedy, Family, Romance",PG,movie,6.6,95 min,Joel Zwick,Nia Vardalos,"Nia Vardalos, Michael Constantine, Christina Eleusiniotis, Kaylee Vieira","English, Greek","USA, Canada",Nominated for 1 Oscar. Another 20 wins & 27 nominations.,"103,163",tt0259446,3.0
6235,2002.0,A Walk to Remember,"Drama, Romance",PG,movie,7.4,101 min,Adam Shankman,"Nicholas Sparks (novel), Karen Janszen (screenplay)","Shane West, Mandy Moore, Peter Coyote, Daryl Hannah",English,USA,4 wins & 2 nominations.,"164,157",tt0281358,5.0
6343,2001.0,Joe Somebody,"Comedy, Drama",PG,movie,5.5,98 min,John Pasquin,John Scott Shepherd,"Tim Allen, Julie Bowen, Kelly Lynch, Greg Germann",English,USA,1 nomination.,"8,504",tt0279889,3.0
6347,2000.0,Big Momma's House,"Action, Comedy, Crime",PG-13,movie,5.1,99 min,Raja Gosnell,"Darryl Quarles (story), Darryl Quarles (screenplay), Don Rhymer (screenplay)","Martin Lawrence, Nia Long, Paul Giamatti, Jascha Washington",English,"USA, Germany",1 win & 8 nominations.,"67,316",tt0208003,2.0
6450,2002.0,City of God,"Crime, Drama",R,movie,8.7,130 min,"Fernando Meirelles, Kátia Lund","Paulo Lins (novel), Bráulio Mantovani (screenplay)","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva",Portuguese,"Brazil, France",Nominated for 4 Oscars. Another 65 wins & 37 nominations.,"540,033",tt0317248,3.0
6464,2002.0,Unfaithful,"Drama, Thriller",R,movie,6.7,124 min,Adrian Lyne,"Claude Chabrol (film ""La Femme infidèle""), Alvin Sargent (screenplay), William Broyles Jr. (screenplay)","Diane Lane, Erik Per Sullivan, Richard Gere, Olivier Martinez","English, French","USA, Germany, France",Nominated for 1 Oscar. Another 3 wins & 13 nominations.,"63,448",tt0250797,5.0
6497,2002.0,Murder By Numbers,"Crime, Mystery, Thriller",R,movie,6.1,115 min,Barbet Schroeder,Tony Gayton,"Sandra Bullock, Ben Chaplin, Ryan Gosling, Michael Pitt",English,USA,2 nominations.,"43,909",tt0264935,4.0
6555,2002.0,Insomnia,"Drama, Mystery, Thriller",R,movie,7.2,118 min,Christopher Nolan,"Hillary Seitz (screenplay), Nikolaj Frobenius, Erik Skjoldbjærg","Al Pacino, Martin Donovan, Oliver 'Ole' Zemen, Hilary Swank",English,"USA, Canada",1 win & 10 nominations.,"220,877",tt0278504,3.0
