Number,Year,Title,Genre,Rated,Type,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbRating
54,1952,We're Not Married,6.5,7.516129032258065,6.0,86,7.8,7.0,7.0,6.0,6.0,0,7.0
55,1995,Jade,6.333333333333333,6.561867935752528,6.0,95,7.25,6.0,6.0,6.0,6.0,2,6.0
57,1995,Richard III,7.0,6.561867935752528,6.0,104,7.333333333333333,7.666666666666667,6.75,6.0,6.5,19,8.0
58,1996,Dragonheart,6.0,6.6177194421657095,6.0,103,6.666666666666667,6.666666666666667,6.25,6.0,6.0,11,7.0
63,1943,Crash Dive,6.333333333333333,7.566810344827586,6.0,106,7.5,7.0,7.0,6.5,6.0,0,7.0
65,2000,Lost in the Pershing Point Hotel,6.5,7.084432717678101,6.0,107,5.0,5.0,5.25,6.0,6.0,4,5.0
67,1997,Vampire Journals,5.5,6.561867935752528,6.0,82,6.0,6.0,6.0,6.0,6.0,0,6.0
72,1974,At Home Among Strangers,6.333333333333333,7.084432717678101,6.0,97,8.0,8.0,8.0,7.0,8.0,0,8.0
74,1999,6ixtynin9,6.0,6.561867935752528,6.0,118,8.0,8.0,8.0,7.0,7.0,7,8.0
75,1997,Grind,7.0,7.084432717678101,6.0,96,6.0,6.0,6.5,6.0,6.0,0,6.0
77,1995,Congo,6.0,6.6177194421657095,6.0,109,6.666666666666667,6.0,6.0,6.0,6.0,13,5.0
78,1996,Jingle All the Way,6.0,6.75021682567216,6.0,89,5.333333333333333,6.0,6.0,6.0,6.0,5,6.0
79,1956,The Killing,6.666666666666667,7.516129032258065,6.0,85,8.5,8.0,7.0,6.0,6.0,0,8.0
80,1979,Winter Kills,6.5,6.561867935752528,6.0,97,6.5,7.0,7.0,6.0,6.0,0,7.0
82,1951,The Frogmen,6.666666666666667,7.516129032258065,6.0,96,7.0,7.0,7.0,6.0,6.0,0,7.0
83,1983,Silkwood,7.0,6.561867935752528,6.0,131,7.352941176470588,7.0,6.75,6.0,6.0,20,8.0
84,2002,The Powerpuff Girls Movie,6.333333333333333,6.75021682567216,6.0,73,7.0,7.0,6.75,6.0,6.0,0,7.0
86,1996,Iron Monkey 2,6.0,6.561867935752528,6.0,92,5.0,5.333333333333333,6.0,7.0,7.0,0,5.0
89,2000,Chain of Command,6.0,6.561867935752528,6.0,96,5.0,5.0,6.0,6.0,6.0,0,5.0
90,1951,The Lemon Drop Kid,6.666666666666667,7.084432717678101,6.0,91,8.0,7.5,7.25,6.0,6.0,1,8.0
93,2004,They Came Back,6.5,7.084432717678101,6.0,102,6.0,6.0,6.0,7.0,7.0,6,6.0
95,1985,Dona Herlinda and Her Son,6.666666666666667,7.084432717678101,6.0,90,7.0,7.0,7.0,7.0,6.0,1,7.0
96,2000,Inside the Space Station,7.0,7.084432717678101,6.0,0,7.5,7.0,6.0,6.0,6.0,0,7.0
102,2004,Notre Musique,7.0,7.084432717678101,6.0,80,7.909090909090909,7.0,7.0,6.666666666666667,7.0,6,7.0
104,1965,The Great Race,6.0,7.516129032258065,6.0,160,7.190476190476191,7.666666666666667,7.0,6.0,6.0,16,8.0
105,2002,Obsessed,6.333333333333333,7.28,6.0,90,6.529411764705882,6.0,6.0,6.0,6.0,0,6.0
108,2004,Spartan,6.333333333333333,6.561867935752528,6.0,106,7.428571428571429,7.0,6.25,6.666666666666667,6.0,0,7.0
110,1989,Scandal,7.0,6.561867935752528,6.0,106,7.142857142857143,7.0,6.5,6.0,7.0,3,7.0
113,2000,Bruce Lee: A Warrior's Journey,6.666666666666667,7.084432717678101,6.0,100,9.0,9.0,7.75,6.5,6.666666666666667,1,9.0
116,2004,Bear Cub,6.5,6.561867935752528,6.0,99,8.0,8.0,8.0,7.0,7.0,6,8.0
117,1957,Silk Stockings,6.666666666666667,7.516129032258065,6.0,117,7.75,7.0,7.0,6.0,6.0,5,7.0
118,1985,Rambo: First Blood Part II,6.0,6.561867935752528,6.0,96,6.6,6.5,5.75,6.5,6.0,10,7.0
123,2000,Chain of Fools,6.0,6.561867935752528,6.0,98,7.0,7.0,6.25,6.0,6.0,0,7.0
125,1981,Nighthawks,6.0,6.561867935752528,6.0,99,7.0,7.0,6.75,6.75,6.0,0,7.0
127,1987,Fatal Beauty,6.0,6.561867935752528,6.0,104,6.6,6.666666666666667,6.5,6.0,6.5,1,6.0
128,1985,Mr. Vampire,6.0,6.6177194421657095,6.0,96,8.0,7.5,7.75,7.0,7.0,12,8.0
130,1999,Drowning on Dry Land,7.0,6.561867935752528,6.0,88,6.0,6.0,6.25,6.0,6.0,1,6.0
136,1927,Cat and the Canary,5.5,7.14540059347181,6.0,108,8.0,7.8,8.0,6.0,6.0,0,8.0
137,1998,Naked Lies,6.333333333333333,6.561867935752528,6.0,93,4.0,3.0,4.25,6.0,6.0,0,3.0
143,1997,The Game,6.333333333333333,6.561867935752528,6.0,129,8.0,6.0,7.0,6.666666666666667,6.0,1,8.0
145,1978,Get Out Your Handkerchiefs,6.666666666666667,6.561867935752528,6.0,108,7.333333333333333,7.0,7.0,7.0,7.0,7,7.0
148,2001,Sweet November,7.0,6.6177194421657095,6.0,119,6.8,7.0,6.5,6.0,6.0,3,7.0
150,2001,Firetrap,6.0,6.561867935752528,6.0,97,6.0,5.5,5.5,6.0,6.0,0,6.0
151,2005,Sleepover Nightmare,5.0,6.561867935752528,6.0,81,4.0,4.0,4.0,6.0,6.0,0,4.0
152,1995,A Little Princess,6.333333333333333,6.877256317689531,6.0,97,7.75,7.333333333333333,7.75,6.5,6.0,13,8.0
155,1975,The Strongest Man in the World,6.0,6.877256317689531,6.0,92,6.0,6.0,6.5,6.0,6.0,0,6.0
156,1992,Husbands and Wives,6.666666666666667,6.561867935752528,6.0,103,7.666666666666667,7.0,7.5,6.0,6.0,22,8.0
158,2004,A Killer Within,6.5,6.561867935752528,6.0,110,5.0,5.0,5.25,6.5,6.0,0,5.0
159,1971,Gentlemen of Fortune,6.333333333333333,7.084432717678101,6.0,88,9.0,9.0,9.0,7.0,8.0,0,9.0
161,1939,Ninotchka,6.5,7.827160493827161,6.0,110,8.6,8.0,7.25,6.5,6.0,8,8.0
164,2003,One Last Dance,7.0,6.6177194421657095,6.0,101,6.0,6.0,6.0,6.0,6.0,0,6.0
165,1982,Richard Pryor: Live on the Sunset Strip,6.5,6.561867935752528,6.0,82,8.0,8.0,6.0,6.0,6.0,1,8.0
166,1980,Fame,7.0,6.561867935752528,6.0,134,7.545454545454546,7.0,7.0,6.75,6.0,23,7.0
167,2004,The Chorus,7.0,6.6177194421657095,6.0,97,8.0,8.0,7.75,7.0,6.666666666666667,36,8.0
168,1983,Smokey and the Bandit Part 3,6.0,6.75021682567216,6.0,85,6.444444444444445,4.0,5.25,6.5,6.0,0,4.0
170,1972,Tomorrow,7.0,6.75021682567216,6.0,103,7.666666666666667,7.666666666666667,7.75,6.0,6.0,0,8.0
171,1957,Funny Face,6.666666666666667,7.14540059347181,6.0,103,7.0,8.0,7.5,6.5,6.0,12,8.0
172,2003,Jack,6.0,7.084432717678101,6.0,120,6.0,6.0,6.0,6.0,6.0,0,6.0
173,1968,The Devil's Brigade,6.666666666666667,7.516129032258065,6.0,130,7.125,7.0,6.25,6.5,6.0,0,7.0
175,1992,Reservoir Dogs,6.333333333333333,6.561867935752528,6.0,99,8.75,8.666666666666666,6.5,6.0,6.0,24,9.0
177,2002,Pressure,6.0,6.561867935752528,6.0,90,6.0,6.0,6.0,6.0,6.0,1,6.0
178,1996,Regular Guys,6.333333333333333,7.084432717678101,6.0,102,7.0,7.0,7.0,7.0,6.0,3,7.0
181,2004,The Last Shot,6.5,6.561867935752528,6.0,93,6.0,6.0,6.25,6.0,6.0,0,6.0
186,1950,Panic in the Streets,6.666666666666667,7.516129032258065,6.0,96,8.142857142857142,7.75,7.25,6.666666666666667,6.0,6,8.0
187,2002,Death to Smoochy,6.333333333333333,6.561867935752528,6.0,109,7.0,6.0,6.25,6.0,6.333333333333333,2,7.0
189,1982,Airplane II: The Sequel,6.0,6.75021682567216,6.0,85,7.0,6.0,6.5,6.0,6.0,0,7.0
195,2004,Chasing Freedom,7.0,6.561867935752528,6.0,120,7.0,7.0,6.75,6.0,6.0,9,7.0
197,2004,Taking Lives,6.0,6.561867935752528,6.0,103,7.0,7.0,6.5,6.5,6.0,4,7.0
198,1997,Gupt,6.333333333333333,7.084432717678101,6.0,173,7.0,7.2,7.0,7.0,7.0,8,8.0
199,1978,The Deer Hunter,7.0,6.561867935752528,6.0,183,7.166666666666667,8.8,6.75,6.75,6.5,48,9.0
200,1964,The Fall of the Roman Empire,7.0,7.516129032258065,6.0,188,7.666666666666667,7.0,6.5,6.0,6.0,3,7.0
202,2001,Ruby's Bucket of Blood,7.0,6.6177194421657095,6.0,95,6.857142857142857,6.0,6.5,6.0,6.0,7,6.0
204,2002,Venus Boyz,7.0,7.084432717678101,6.0,102,7.0,7.0,7.0,6.0,6.333333333333333,5,7.0
210,2001,Onmyoji,6.333333333333333,6.561867935752528,6.0,112,7.0,7.0,6.5,7.0,7.0,14,7.0
212,1982,Querelle,7.0,6.561867935752528,6.0,108,7.833333333333333,7.0,7.0,6.0,7.0,4,7.0
219,1995,Neon Bible,7.0,7.084432717678101,6.0,91,7.5,7.0,6.5,6.0,7.0,2,7.0
222,1998,Yellow,6.666666666666667,6.561867935752528,6.0,90,6.0,6.0,6.0,6.5,6.0,1,6.0
225,2004,The Cookout,6.0,6.6177194421657095,6.0,97,4.0,4.0,4.5,6.0,6.0,2,4.0
228,1979,Butch and Sundance: The Early Days,6.5,6.75021682567216,6.0,115,6.5,6.0,6.0,6.0,6.0,0,6.0
231,2002,Marooned in Iraq,7.0,7.084432717678101,6.0,108,8.0,8.0,8.0,7.0,7.0,9,8.0
232,1989,Gross Anatomy,7.0,6.6177194421657095,6.0,109,6.666666666666667,7.0,6.25,6.0,6.0,0,7.0
235,1996,Unhook the Stars,7.0,6.561867935752528,6.0,103,7.0,7.0,7.0,6.0,6.5,7,7.0
238,1976,Led Zeppelin: The Song Remains the Same,7.0,6.75021682567216,6.0,137,8.0,8.0,8.0,6.0,6.5,0,8.0
239,2004,Winnie the Pooh: Springtime with Roo,6.333333333333333,6.877256317689531,6.0,65,7.0,7.0,6.75,6.5,6.0,6,7.0
240,1942,Woman of the Year,6.666666666666667,7.827160493827161,6.0,114,8.090909090909092,8.0,7.0,6.833333333333333,6.0,4,8.0
241,1959,North by Northwest,6.0,7.516129032258065,6.0,136,7.8108108108108105,9.0,7.25,6.0,6.0,15,9.0
243,1962,Pressure Point,7.0,7.084432717678101,6.0,91,8.0,8.0,7.25,6.0,6.0,0,8.0
246,1968,The Boston Strangler,6.333333333333333,7.516129032258065,6.0,116,6.75,7.5,6.75,6.0,6.0,3,8.0
247,1994,Oleanna,6.5,7.566810344827586,6.0,89,7.428571428571429,7.0,6.5,6.0,6.5,1,7.0
249,1958,The Hunters,6.666666666666667,7.516129032258065,6.0,108,7.5,7.0,6.75,6.0,6.0,0,7.0
250,1966,Cast a Giant Shadow,6.666666666666667,7.516129032258065,6.0,146,7.0,7.0,6.5,6.5,6.0,0,7.0
252,2002,Stuart Little 2,6.333333333333333,6.75021682567216,6.0,77,5.666666666666667,6.0,6.25,6.0,6.0,5,6.0
253,1935,A Night at the Opera,6.666666666666667,7.827160493827161,6.0,96,9.0,8.666666666666666,8.25,6.5,6.0,1,9.0
254,2003,Westender,6.5,6.6177194421657095,6.0,105,5.0,5.0,5.0,6.0,6.0,1,5.0
257,1973,Charlotte's Web,6.666666666666667,6.877256317689531,6.0,94,7.0,6.5,6.25,6.0,6.0,1,7.0
258,1999,Mann,7.0,7.084432717678101,6.0,160,7.0,6.666666666666667,7.25,7.0,7.0,0,7.0
259,2004,Animal,6.333333333333333,7.084432717678101,6.0,90,6.0,6.0,6.0,6.5,6.0,0,6.0
260,1967,Marat / Sade,7.0,7.566810344827586,6.0,116,7.5,8.0,7.75,6.0,7.0,2,8.0
261,1948,The Big Clock,6.666666666666667,7.516129032258065,6.0,95,7.4,8.0,7.5,6.0,6.0,2,8.0
262,1974,Herbie Rides Again,6.0,6.877256317689531,6.0,88,7.071428571428571,6.0,6.0,6.0,6.0,0,6.0
268,1980,The Final Countdown,6.0,6.75021682567216,6.0,103,7.0,6.857142857142857,6.5,6.666666666666667,6.0,3,7.0
269,1989,Parenthood,6.5,6.6177194421657095,6.0,124,7.214285714285714,6.6,6.25,6.0,6.0,16,7.0
273,2004,Taxi,6.0,6.6177194421657095,6.0,97,6.0,5.25,5.5,6.666666666666667,6.5,8,5.0
274,2002,Crazy as Hell,6.5,6.561867935752528,6.0,113,7.5,7.0,6.75,6.0,6.0,3,7.0
275,2002,Evelyn,7.0,6.75021682567216,6.0,94,6.857142857142857,7.0,6.75,6.0,6.4,9,7.0
281,1993,The Legend,6.333333333333333,6.561867935752528,6.0,100,7.333333333333333,7.4,7.5,7.0,7.0,5,8.0
283,1996,If These Walls Could Talk,6.5,6.561867935752528,6.0,97,8.0,7.888888888888889,6.5,6.0,6.0,18,8.0
284,2005,Sasquatch Hunters,5.666666666666667,6.561867935752528,6.0,88,4.0,4.0,4.0,6.0,6.0,0,4.0
285,1997,The Devil's Own,6.333333333333333,6.561867935752528,6.0,111,7.3,6.5,6.5,6.0,6.0,1,7.0
286,1966,Thunderbirds Are Go,6.0,7.084432717678101,6.0,93,7.0,7.0,6.75,6.0,7.0,0,7.0
289,1998,The Avengers,6.0,6.6177194421657095,6.0,89,5.0,4.0,6.25,6.0,6.0,19,4.0
294,2002,Oasis,7.0,7.084432717678101,6.0,133,8.0,8.0,7.75,7.0,7.0,15,8.0
295,1995,Ace Ventura: When Nature Calls,6.0,6.6177194421657095,6.0,90,7.0,7.0,6.5,6.0,6.0,14,7.0
296,2000,In His Life: The John Lennon Story,7.0,6.6177194421657095,6.0,85,6.25,7.0,7.0,6.0,6.0,1,7.0
297,2003,The Hebrew Hammer,6.0,6.561867935752528,6.0,85,7.0,7.0,5.75,6.666666666666667,6.0,0,7.0
299,2001,Bridget Jones's Diary,6.666666666666667,6.561867935752528,6.0,97,7.0,6.0,6.25,6.0,6.75,38,7.0
301,2003,Hard Ground,7.0,7.084432717678101,6.0,93,6.0,6.0,6.0,6.0,6.0,0,6.0
303,1959,Les Liaisons Dangereuses,7.0,7.084432717678101,6.0,106,6.2,6.8,7.0,7.0,7.0,0,7.0
305,1996,Jack,6.333333333333333,6.6177194421657095,6.0,113,7.8,6.0,6.0,6.5,6.0,6,6.0
309,1975,The Day of the Locust,6.5,6.561867935752528,6.0,144,7.230769230769231,8.0,6.75,6.0,6.0,8,8.0
311,1994,Ed Wood,6.666666666666667,6.561867935752528,6.0,127,7.5,7.333333333333333,6.75,6.0,6.0,50,8.0
312,2000,High Fidelity,6.666666666666667,6.561867935752528,6.0,113,7.5,7.4,7.25,6.5,6.5,25,8.0
313,2000,Pay It Forward,7.0,6.6177194421657095,6.0,123,7.0,7.5,6.5,6.0,6.0,5,8.0
317,1997,Mandela and de Klerk,7.0,6.6177194421657095,6.0,114,7.25,7.0,7.0,6.5,6.0,11,8.0
318,1994,Beyond Suspicion,6.333333333333333,6.561867935752528,6.0,98,5.333333333333333,7.0,6.5,6.0,6.0,0,7.0
320,1997,Eat Your Heart Out,6.5,7.14540059347181,6.0,94,6.0,6.0,6.0,6.0,6.0,0,6.0
321,2004,Ju-Rei: The Uncanny,5.0,7.566810344827586,6.0,76,6.0,6.0,6.0,7.0,7.0,0,6.0
322,1974,Flesh Gordon,6.0,6.561867935752528,6.0,78,5.0,5.0,5.0,6.0,6.0,1,5.0
329,1999,Dogma,6.333333333333333,6.561867935752528,6.0,130,7.666666666666667,7.0,7.5,6.0,6.0,8,8.0
330,1998,Wild Things,6.333333333333333,6.561867935752528,6.0,108,6.4,7.0,6.5,6.0,6.0,6,7.0
331,1997,Chasing Amy,6.666666666666667,6.561867935752528,6.0,113,7.666666666666667,7.0,7.0,6.0,6.0,21,8.0
334,2005,The Pacifier,6.333333333333333,6.75021682567216,6.0,95,6.5,6.0,6.0,6.5,6.0,11,6.0
335,1981,Fear No Evil,5.0,6.561867935752528,6.0,99,5.5,5.0,4.0,6.0,6.0,1,4.0
336,1978,The Driver,6.0,6.561867935752528,6.0,91,7.055555555555555,7.0,7.25,6.0,6.5,0,8.0
337,1983,Star 80,7.0,6.561867935752528,6.0,103,7.6,7.0,6.0,6.0,6.0,4,7.0
341,2004,Tremors 4: The Legend Begins,5.666666666666667,6.6177194421657095,6.0,101,6.0,6.0,5.5,6.0,6.0,1,6.0
344,1967,The Taming of the Shrew,6.666666666666667,7.516129032258065,6.0,122,7.3,7.25,7.5,6.0,6.5,14,8.0
347,1989,Iceman Cometh,6.333333333333333,7.084432717678101,6.0,114,6.666666666666667,7.0,7.0,7.0,7.0,3,7.0
348,1988,The Last Temptation of Christ,7.0,6.561867935752528,6.0,164,7.866666666666666,7.5,7.0,6.0,6.0,9,8.0
349,1978,The Swarm,5.5,6.75021682567216,6.0,116,5.0,5.5,6.5,6.0,6.0,0,5.0
351,1969,Guns of the Magnificent Seven,6.5,6.877256317689531,6.0,105,6.5,6.0,6.25,6.5,6.0,0,6.0
353,2002,Life or Something Like It,6.5,6.6177194421657095,6.0,103,6.6,6.0,6.25,6.0,6.0,1,6.0
356,2005,Look at Me,7.0,7.084432717678101,6.0,25,8.0,7.75,8.0,7.0,7.0,1,8.0
357,2003,House of Sand and Fog,7.0,6.561867935752528,6.0,126,8.0,8.0,6.75,6.5,6.0,52,8.0
358,1979,The Onion Field,6.5,6.561867935752528,6.0,122,6.777777777777778,7.0,6.5,6.0,6.0,4,7.0
360,1999,Lies,7.0,7.084432717678101,6.0,112,6.0,6.0,6.0,7.0,7.0,3,6.0
362,2000,The Flintstones in Viva Rock Vegas,6.333333333333333,6.75021682567216,6.0,90,5.333333333333333,4.666666666666667,4.75,6.0,6.0,6,4.0
363,2002,Stark Raving Mad,6.0,6.561867935752528,6.0,101,7.0,7.0,6.5,6.0,6.0,0,7.0
369,2000,Playing Mona Lisa,6.0,6.561867935752528,6.0,97,7.0,7.0,6.25,6.0,6.0,2,7.0
371,1966,The Trouble with Angels,6.0,6.75021682567216,6.0,112,7.5,8.0,7.0,6.0,6.0,2,8.0
372,1998,Jeans,6.666666666666667,7.084432717678101,6.0,175,7.0,7.0,6.75,8.0,7.0,3,7.0
374,1976,The Little Girl Who Lives Down the Lane,6.333333333333333,6.75021682567216,6.0,91,8.0,8.0,7.25,6.0,6.5,5,8.0
378,2003,Party Monster,6.666666666666667,6.561867935752528,6.0,98,7.0,7.0,6.25,6.0,6.0,4,7.0
380,1992,Live Wire,6.333333333333333,6.561867935752528,6.0,85,6.2,6.0,6.25,6.0,6.0,0,6.0
381,1991,Out for Justice,6.333333333333333,6.561867935752528,6.0,91,6.6,6.0,5.75,6.666666666666667,6.0,0,6.0
382,2004,Buried in the Sand: The Deception of America,7.0,7.084432717678101,6.0,90,5.0,5.0,5.75,6.0,6.0,0,5.0
383,2001,Hit Team,6.0,7.084432717678101,6.0,94,7.0,6.0,6.0,6.5,7.0,0,6.0
384,1986,Crossroads,6.666666666666667,6.561867935752528,6.0,99,7.055555555555555,7.0,7.0,6.0,6.0,1,8.0
385,2002,The Santa Clause 2,6.0,6.877256317689531,6.0,104,6.5,5.888888888888889,6.0,6.0,6.0,4,6.0
386,1994,Princess Caraboo,6.666666666666667,6.75021682567216,6.0,97,6.0,6.0,6.75,6.0,6.5,0,6.0
388,1990,Body Chemistry,6.5,6.561867935752528,6.0,84,5.0,5.0,5.25,6.0,6.0,0,5.0
389,2002,Steal,6.0,6.561867935752528,6.0,83,6.0,6.0,5.25,6.0,6.666666666666667,0,6.0
390,1981,The Fan,6.0,6.561867935752528,6.0,95,6.0,6.0,6.5,6.0,6.0,1,6.0
393,1998,The Replacement Killers,6.0,6.561867935752528,6.0,87,7.0,6.0,6.5,6.5,6.0,1,7.0
395,1935,Captain Blood,6.0,7.566810344827586,6.0,119,7.714285714285714,8.0,7.0,6.5,6.0,0,8.0
397,1946,A Night in Casablanca,6.0,7.827160493827161,6.0,85,7.5,8.0,8.0,6.666666666666667,6.0,0,8.0
398,1976,In the Realm of the Senses,6.333333333333333,7.157894736842105,6.0,109,7.0,7.0,7.0,7.0,7.0,4,7.0
399,2001,Fangs,7.0,7.084432717678101,6.0,0,6.0,6.0,6.0,6.0,6.0,0,6.0
400,1970,Rio Lobo,6.666666666666667,6.877256317689531,6.0,114,7.846153846153846,7.333333333333333,6.5,6.5,6.0,0,7.0
402,1999,Pan Tadeusz,7.0,7.084432717678101,6.0,147,7.666666666666667,7.0,7.25,7.0,7.0,11,7.0
404,2001,The Shaft,5.666666666666667,6.561867935752528,6.0,111,5.0,5.0,5.25,6.0,6.0,0,5.0
405,1987,Wings of Desire,6.666666666666667,6.6177194421657095,6.0,128,8.0,8.0,8.5,6.857142857142857,7.0,29,9.0
406,2005,Hostage,6.333333333333333,6.561867935752528,6.0,113,7.0,6.5,6.25,6.0,6.0,4,7.0
407,1972,The Abductors,6.5,6.561867935752528,6.0,90,4.5,4.0,4.75,6.0,6.0,0,5.0
408,1990,Nightbreed,5.666666666666667,6.561867935752528,6.0,102,6.666666666666667,6.5,6.75,6.0,6.0,8,7.0
409,1966,Godzilla vs. The Sea Monster,6.0,6.75021682567216,6.0,83,6.25,6.0,6.0,7.0,7.0,0,6.0
410,1998,Frank Lloyd Wright,7.0,7.084432717678101,6.0,146,8.0,8.0,6.75,6.0,6.0,5,8.0
411,1999,Vendetta,7.0,6.561867935752528,6.0,117,7.25,7.0,6.5,6.5,6.0,0,7.0
413,2002,Igby Goes Down,6.5,6.561867935752528,6.0,98,7.0,7.0,6.25,6.0,6.0,24,7.0
414,1999,Girl,7.0,6.561867935752528,6.0,127,7.5,7.5,6.25,6.0,6.0,19,8.0
415,2002,Reign in Darkness,5.666666666666667,6.561867935752528,6.0,90,3.0,3.0,3.0,6.0,6.0,0,3.0
416,2003,Elephant,6.333333333333333,6.561867935752528,6.0,81,7.1,7.0,8.0,6.5,6.0,19,8.0
418,2004,The Deal,7.0,7.084432717678101,6.0,10,5.0,5.0,5.0,6.0,7.0,0,5.0
422,1964,The Unsinkable Molly Brown,6.666666666666667,7.516129032258065,6.0,128,7.375,7.0,6.5,6.0,6.0,18,7.0
424,1998,Happiness,6.5,7.084432717678101,6.0,134,7.5,7.0,6.5,6.5,6.0,36,8.0
426,2001,Recess: School's Out,6.333333333333333,6.877256317689531,6.0,82,7.0,7.0,7.0,6.0,6.0,0,7.0
427,1990,Graveyard Shift,5.0,6.561867935752528,6.0,89,5.0,5.0,5.0,6.0,6.5,1,5.0
429,1997,Zeus and Roxanne,6.0,6.75021682567216,6.0,98,6.6,6.0,6.0,6.0,6.0,0,6.0
433,1993,Untamed Heart,6.666666666666667,6.6177194421657095,6.0,102,7.2,7.0,6.75,6.0,6.0,3,7.0
435,1996,Love Can Seriously Damage Your Health,6.5,7.084432717678101,6.0,117,7.0,7.0,6.75,7.0,7.0,2,7.0
436,1985,Girls Just Want to Have Fun,6.666666666666667,6.75021682567216,6.0,90,6.25,6.0,6.0,6.0,6.0,0,6.0
439,1961,Town Without Pity,6.5,7.516129032258065,6.0,105,8.0,8.0,7.5,6.5,6.666666666666667,4,8.0
442,1988,Mississippi Burning,6.666666666666667,6.561867935752528,6.0,128,7.545454545454546,8.0,6.5,6.0,6.0,41,8.0
443,2002,Rabbit-Proof Fence,6.666666666666667,6.75021682567216,6.0,94,7.285714285714286,8.0,7.75,6.5,6.0,47,8.0
445,1996,Michael Collins,6.666666666666667,6.561867935752528,6.0,133,7.111111111111111,7.0,6.75,6.0,6.666666666666667,21,8.0
446,1995,The Underneath,6.0,6.561867935752528,6.0,99,7.3,7.0,6.25,6.0,6.0,1,7.0
447,1986,The Making of Fanny and Alexander,7.0,7.566810344827586,6.0,110,8.636363636363637,8.0,8.0,7.0,7.0,0,8.0
453,1992,Simple Men,6.666666666666667,6.561867935752528,6.0,105,7.0,7.0,7.0,6.0,6.666666666666667,2,8.0
455,1999,Cardcaptor Sakura: The Movie,6.333333333333333,7.566810344827586,6.0,80,8.0,8.0,8.0,7.0,7.0,0,8.0
457,2004,Kill Bill: Vol. 2,6.333333333333333,6.561867935752528,6.0,137,8.75,8.0,7.25,6.75,6.0,95,8.0
459,1996,Basquiat,7.0,6.561867935752528,6.0,108,7.5,7.0,7.0,6.5,6.0,5,7.0
460,1971,Pink Narcissus,6.5,7.566810344827586,6.0,65,7.0,7.0,7.0,6.0,6.0,0,7.0
465,1995,Coolie No.1,6.0,7.084432717678101,6.0,143,6.222222222222222,6.5,6.25,7.0,7.0,0,7.0
467,1941,Topper Returns,6.0,7.516129032258065,6.0,88,7.0,7.0,7.0,6.0,6.0,0,7.0
468,2003,The Matrix: Revolutions,6.0,6.561867935752528,6.0,129,8.0,7.5,7.0,6.5,6.0,25,7.0
470,2001,Beneath Loch Ness,5.666666666666667,6.6177194421657095,6.0,96,4.0,4.0,5.0,6.0,6.0,0,4.0
